,id,room_reclass,room_base,room_uncertain,filename,image_path_reclass,image_path_base,image_path_uncertain
475,26df88dd838f6610eacffa45e57bba66dc1e7b09,diningroom,kitchen,uncertain,26df88dd838f6610eacffa45e57bba66dc1e7b09.jpg,./data/base_data/diningroom/26df88dd838f6610eacffa45e57bba66dc1e7b09.jpg,./data/base_data/kitchen/26df88dd838f6610eacffa45e57bba66dc1e7b09.jpg,./data/base_data/uncertain/26df88dd838f6610eacffa45e57bba66dc1e7b09.jpg
57,0572643c722ba726fe47e4b361219dfd3263e26b,bedroom,misc_int,uncertain,0572643c722ba726fe47e4b361219dfd3263e26b.jpg,./data/base_data/bedroom/0572643c722ba726fe47e4b361219dfd3263e26b.jpg,./data/base_data/misc_int/0572643c722ba726fe47e4b361219dfd3263e26b.jpg,./data/base_data/uncertain/0572643c722ba726fe47e4b361219dfd3263e26b.jpg
229,072261631621b4663ce48d90aa73a538c5f7dce3,graphic,misc_ext,uncertain,072261631621b4663ce48d90aa73a538c5f7dce3.jpg,./data/base_data/graphic/072261631621b4663ce48d90aa73a538c5f7dce3.jpg,./data/base_data/misc_ext/072261631621b4663ce48d90aa73a538c5f7dce3.jpg,./data/base_data/uncertain/072261631621b4663ce48d90aa73a538c5f7dce3.jpg
201,06e1dfe78d4438978b35780d789f1002b3102c8d,bedroom,misc_int,uncertain,06e1dfe78d4438978b35780d789f1002b3102c8d.jpg,./data/base_data/bedroom/06e1dfe78d4438978b35780d789f1002b3102c8d.jpg,./data/base_data/misc_int/06e1dfe78d4438978b35780d789f1002b3102c8d.jpg,./data/base_data/uncertain/06e1dfe78d4438978b35780d789f1002b3102c8d.jpg
125,06334bf23eae9b14c6d3c16908053776f442e4eb,graphic,misc_ext,uncertain,06334bf23eae9b14c6d3c16908053776f442e4eb.jpg,./data/base_data/graphic/06334bf23eae9b14c6d3c16908053776f442e4eb.jpg,./data/base_data/misc_ext/06334bf23eae9b14c6d3c16908053776f442e4eb.jpg,./data/base_data/uncertain/06334bf23eae9b14c6d3c16908053776f442e4eb.jpg
337,0835cec555fba205a09c69dfe133574a8d940028,entrance,misc_int,uncertain,0835cec555fba205a09c69dfe133574a8d940028.jpg,./data/base_data/entrance/0835cec555fba205a09c69dfe133574a8d940028.jpg,./data/base_data/misc_int/0835cec555fba205a09c69dfe133574a8d940028.jpg,./data/base_data/uncertain/0835cec555fba205a09c69dfe133574a8d940028.jpg
54,056ef388a21f5d546d4ffe6a8a72e5b5e7f69e83,bedroom,misc_int,uncertain,056ef388a21f5d546d4ffe6a8a72e5b5e7f69e83.jpg,./data/base_data/bedroom/056ef388a21f5d546d4ffe6a8a72e5b5e7f69e83.jpg,./data/base_data/misc_int/056ef388a21f5d546d4ffe6a8a72e5b5e7f69e83.jpg,./data/base_data/uncertain/056ef388a21f5d546d4ffe6a8a72e5b5e7f69e83.jpg
111,060bc62efec08c655110ae078928d2a2ac52f26b,study,diningroom,uncertain,060bc62efec08c655110ae078928d2a2ac52f26b.jpg,./data/base_data/study/060bc62efec08c655110ae078928d2a2ac52f26b.jpg,./data/base_data/diningroom/060bc62efec08c655110ae078928d2a2ac52f26b.jpg,./data/base_data/uncertain/060bc62efec08c655110ae078928d2a2ac52f26b.jpg
420,08eb302693d2afdfd6e8336865b0d29c76db20e4,diningroom,kitchen,uncertain,08eb302693d2afdfd6e8336865b0d29c76db20e4.jpg,./data/base_data/diningroom/08eb302693d2afdfd6e8336865b0d29c76db20e4.jpg,./data/base_data/kitchen/08eb302693d2afdfd6e8336865b0d29c76db20e4.jpg,./data/base_data/uncertain/08eb302693d2afdfd6e8336865b0d29c76db20e4.jpg
250,075af6bd08cfa8df307c7db55530eb086bab724d,exclude,misc_int,uncertain,075af6bd08cfa8df307c7db55530eb086bab724d.jpg,./data/base_data/exclude/075af6bd08cfa8df307c7db55530eb086bab724d.jpg,./data/base_data/misc_int/075af6bd08cfa8df307c7db55530eb086bab724d.jpg,./data/base_data/uncertain/075af6bd08cfa8df307c7db55530eb086bab724d.jpg
