,id,dataset,int_ext,room,jpg_filename,image_path,orig_tensor_dim
4368,0038cad4553a9922d24a70a4d77abb9d2c1261f9,sample_data_2,interior,bathroom,0038cad4553a9922d24a70a4d77abb9d2c1261f9.jpg,image_data/sample_data_2/bathroom/0038cad4553a9922d24a70a4d77abb9d2c1261f9.jpg,"(430, 644, 3)"
4385,00da56e13e015b383effff3fe8560ae7fa7cb1f9,sample_data_2,interior,bathroom,00da56e13e015b383effff3fe8560ae7fa7cb1f9.jpg,image_data/sample_data_2/bathroom/00da56e13e015b383effff3fe8560ae7fa7cb1f9.jpg,"(430, 645, 3)"
4448,03185a97881e453cb9b4456b04aa7272dd4a88b9,sample_data_2,interior,bathroom,03185a97881e453cb9b4456b04aa7272dd4a88b9.jpg,image_data/sample_data_2/bathroom/03185a97881e453cb9b4456b04aa7272dd4a88b9.jpg,"(430, 645, 3)"
4453,03352f3379337ef8aa5a960bc64ef0a7e53bed29,sample_data_2,interior,bathroom,03352f3379337ef8aa5a960bc64ef0a7e53bed29.jpg,image_data/sample_data_2/bathroom/03352f3379337ef8aa5a960bc64ef0a7e53bed29.jpg,"(413, 619, 3)"
4380,00840251c3310a7a02ec7bfe14454474613e7899,sample_data_2,interior,bathroom,00840251c3310a7a02ec7bfe14454474613e7899.jpg,image_data/sample_data_2/bathroom/00840251c3310a7a02ec7bfe14454474613e7899.jpg,"(430, 645, 3)"
4384,00af819588b69a9424153882d8ab9eb9cb0db1f9,sample_data_2,interior,bathroom,00af819588b69a9424153882d8ab9eb9cb0db1f9.jpg,image_data/sample_data_2/bathroom/00af819588b69a9424153882d8ab9eb9cb0db1f9.jpg,"(430, 645, 3)"
4423,0232e6e655ab2755edfbeb01c045acebea4d40b9,sample_data_2,interior,bathroom,0232e6e655ab2755edfbeb01c045acebea4d40b9.jpg,image_data/sample_data_2/bathroom/0232e6e655ab2755edfbeb01c045acebea4d40b9.jpg,"(430, 645, 3)"
4403,018eb90e35726ca708ea00561165dc3b33bf5a09,sample_data_2,interior,bathroom,018eb90e35726ca708ea00561165dc3b33bf5a09.jpg,image_data/sample_data_2/bathroom/018eb90e35726ca708ea00561165dc3b33bf5a09.jpg,"(430, 645, 3)"
4260,312c8263c6132b52ea0b8d2a91510c3e9a028b4c,sample_data,interior,bathroom,312c8263c6132b52ea0b8d2a91510c3e9a028b4c.jpg,image_data/sample_data/bathroom/312c8263c6132b52ea0b8d2a91510c3e9a028b4c.jpg,"(430, 645, 3)"
4443,02c95dba5130fa3e9bd28cb985ee4c9d19814839,sample_data_2,interior,bathroom,02c95dba5130fa3e9bd28cb985ee4c9d19814839.jpg,image_data/sample_data_2/bathroom/02c95dba5130fa3e9bd28cb985ee4c9d19814839.jpg,"(430, 645, 3)"
