,id,dataset,int_ext,room,jpg_filename,image_path,orig_tensor_dim
4614,02ff4bc5a85f1f1744784abe58e93e998fe13cc9,sample_data_2,interior,bedroom,02ff4bc5a85f1f1744784abe58e93e998fe13cc9.jpg,image_data/sample_data_2/bedroom/02ff4bc5a85f1f1744784abe58e93e998fe13cc9.jpg,"(430, 644, 3)"
4645,03c03ba1796e5541c8cdfcae5bcd396decc2fe09,sample_data_2,interior,bedroom,03c03ba1796e5541c8cdfcae5bcd396decc2fe09.jpg,image_data/sample_data_2/bedroom/03c03ba1796e5541c8cdfcae5bcd396decc2fe09.jpg,"(430, 645, 3)"
4628,036b0d5f384e2c350254374d0380bc424da7dba9,sample_data_2,interior,bedroom,036b0d5f384e2c350254374d0380bc424da7dba9.jpg,image_data/sample_data_2/bedroom/036b0d5f384e2c350254374d0380bc424da7dba9.jpg,"(412, 620, 3)"
4641,03a1ecd09935e9c63502600557b6f4ef9e7892f9,sample_data_2,interior,bedroom,03a1ecd09935e9c63502600557b6f4ef9e7892f9.jpg,image_data/sample_data_2/bedroom/03a1ecd09935e9c63502600557b6f4ef9e7892f9.jpg,"(430, 645, 3)"
4536,00bb899bec28443bab65c185ff24d9090ab0ab79,sample_data_2,interior,bedroom,00bb899bec28443bab65c185ff24d9090ab0ab79.jpg,image_data/sample_data_2/bedroom/00bb899bec28443bab65c185ff24d9090ab0ab79.jpg,"(430, 644, 3)"
4501,0022a42df941db606f1fad29b4522a53b13a34a9,sample_data_2,interior,bedroom,0022a42df941db606f1fad29b4522a53b13a34a9.jpg,image_data/sample_data_2/bedroom/0022a42df941db606f1fad29b4522a53b13a34a9.jpg,"(430, 645, 3)"
4655,042206b0d6e286a47a710849cd8e2d59bc9434f9,sample_data_2,interior,bedroom,042206b0d6e286a47a710849cd8e2d59bc9434f9.jpg,image_data/sample_data_2/bedroom/042206b0d6e286a47a710849cd8e2d59bc9434f9.jpg,"(399, 600, 3)"
4498,001e1917d5be0d89bdd085188bf6953c2768ee59,sample_data_2,interior,bedroom,001e1917d5be0d89bdd085188bf6953c2768ee59.jpg,image_data/sample_data_2/bedroom/001e1917d5be0d89bdd085188bf6953c2768ee59.jpg,"(430, 645, 3)"
4590,02299f619cc6e940881d2c7ed328efea9b6be0b9,sample_data_2,interior,bedroom,02299f619cc6e940881d2c7ed328efea9b6be0b9.jpg,image_data/sample_data_2/bedroom/02299f619cc6e940881d2c7ed328efea9b6be0b9.jpg,"(430, 645, 3)"
4589,0229407478a07d90908179b33b133242c8c815e9,sample_data_2,interior,bedroom,0229407478a07d90908179b33b133242c8c815e9.jpg,image_data/sample_data_2/bedroom/0229407478a07d90908179b33b133242c8c815e9.jpg,"(430, 645, 3)"
4537,00bf4fb8a37b9ba06485f1cf0d532ff63d8d1f79,sample_data_2,interior,bedroom,00bf4fb8a37b9ba06485f1cf0d532ff63d8d1f79.jpg,image_data/sample_data_2/bedroom/00bf4fb8a37b9ba06485f1cf0d532ff63d8d1f79.jpg,"(430, 645, 3)"
4555,013391f87f1c4817222847a87d12d85028d279c9,sample_data_2,interior,bedroom,013391f87f1c4817222847a87d12d85028d279c9.jpg,image_data/sample_data_2/bedroom/013391f87f1c4817222847a87d12d85028d279c9.jpg,"(430, 645, 3)"
4502,00280fad6864bee3aec985adc9b8e865f2bbe439,sample_data_2,interior,bedroom,00280fad6864bee3aec985adc9b8e865f2bbe439.jpg,image_data/sample_data_2/bedroom/00280fad6864bee3aec985adc9b8e865f2bbe439.jpg,"(430, 645, 3)"
4661,0444a5063079ea4c9ae702a642b43087ee5763f9,sample_data_2,interior,bedroom,0444a5063079ea4c9ae702a642b43087ee5763f9.jpg,image_data/sample_data_2/bedroom/0444a5063079ea4c9ae702a642b43087ee5763f9.jpg,"(430, 645, 3)"
4584,021179dcaeea1967bb5b20c89b59e58453459a09,sample_data_2,interior,bedroom,021179dcaeea1967bb5b20c89b59e58453459a09.jpg,image_data/sample_data_2/bedroom/021179dcaeea1967bb5b20c89b59e58453459a09.jpg,"(430, 644, 3)"
