,id,dataset,int_ext,room,jpg_filename,image_path,orig_tensor_dim
4726,03e25b70d213d0b68864948e05e11898f77596b9,sample_data_2,interior,diningroom,03e25b70d213d0b68864948e05e11898f77596b9.jpg,image_data/sample_data_2/diningroom/03e25b70d213d0b68864948e05e11898f77596b9.jpg,"(430, 619, 3)"
4703,01b53306effe13871c5b94fc7a0a31d5a87e99e9,sample_data_2,interior,diningroom,01b53306effe13871c5b94fc7a0a31d5a87e99e9.jpg,image_data/sample_data_2/diningroom/01b53306effe13871c5b94fc7a0a31d5a87e99e9.jpg,"(430, 645, 3)"
4716,02d34f9aa2fb1005031aa35f30a3a0a2687f6b89,sample_data_2,interior,diningroom,02d34f9aa2fb1005031aa35f30a3a0a2687f6b89.jpg,image_data/sample_data_2/diningroom/02d34f9aa2fb1005031aa35f30a3a0a2687f6b89.jpg,"(299, 450, 3)"
4725,03cf244acd8e3fe498772fb67004e9693d7bc189,sample_data_2,interior,diningroom,03cf244acd8e3fe498772fb67004e9693d7bc189.jpg,image_data/sample_data_2/diningroom/03cf244acd8e3fe498772fb67004e9693d7bc189.jpg,"(430, 645, 3)"
4732,04422a15d74038d2c4739f323e99c11cb41b33f9,sample_data_2,interior,diningroom,04422a15d74038d2c4739f323e99c11cb41b33f9.jpg,image_data/sample_data_2/diningroom/04422a15d74038d2c4739f323e99c11cb41b33f9.jpg,"(430, 645, 3)"
4718,02e2bd5f268044e2190cf300ab0c3b533e66c119 (1),sample_data_2,interior,diningroom,02e2bd5f268044e2190cf300ab0c3b533e66c119 (1).jpg,image_data/sample_data_2/diningroom/02e2bd5f268044e2190cf300ab0c3b533e66c119 (1).jpg,"(430, 573, 3)"
4690,00d81af17758b2dca97b1206d17afbac4b429e39,sample_data_2,interior,diningroom,00d81af17758b2dca97b1206d17afbac4b429e39.jpg,image_data/sample_data_2/diningroom/00d81af17758b2dca97b1206d17afbac4b429e39.jpg,"(430, 645, 3)"
4731,042f3547d2d0a0d3d03df323d41e10f8c09fe219,sample_data_2,interior,diningroom,042f3547d2d0a0d3d03df323d41e10f8c09fe219.jpg,image_data/sample_data_2/diningroom/042f3547d2d0a0d3d03df323d41e10f8c09fe219.jpg,"(430, 645, 3)"
4682,0004a180e1d62093c343afa5f2cf647483729319,sample_data_2,interior,diningroom,0004a180e1d62093c343afa5f2cf647483729319.jpg,image_data/sample_data_2/diningroom/0004a180e1d62093c343afa5f2cf647483729319.jpg,"(430, 600, 3)"
4698,0154d22c549c5a77b97240f3a29efad3e65d3d39,sample_data_2,interior,diningroom,0154d22c549c5a77b97240f3a29efad3e65d3d39.jpg,image_data/sample_data_2/diningroom/0154d22c549c5a77b97240f3a29efad3e65d3d39.jpg,"(430, 645, 3)"
4715,0288499871212833224aefd8a21fee67bb18d3e9,sample_data_2,interior,diningroom,0288499871212833224aefd8a21fee67bb18d3e9.jpg,image_data/sample_data_2/diningroom/0288499871212833224aefd8a21fee67bb18d3e9.jpg,"(429, 645, 3)"
