,id,dataset,int_ext,room,jpg_filename,image_path,orig_tensor_dim
4898,02e82a29e5ff0a07ee3e9f8b8574f82b633b53d9,sample_data_2,exterior,front,02e82a29e5ff0a07ee3e9f8b8574f82b633b53d9.jpg,image_data/sample_data_2/front/02e82a29e5ff0a07ee3e9f8b8574f82b633b53d9.jpg,"(430, 645, 3)"
4924,0476e3440583a7d87fe6c10a6aefc341bace3bd9,sample_data_2,exterior,front,0476e3440583a7d87fe6c10a6aefc341bace3bd9.jpg,image_data/sample_data_2/front/0476e3440583a7d87fe6c10a6aefc341bace3bd9.jpg,"(430, 644, 3)"
4833,007bffc11cb18a5480a19d66bea8b13325f26879,sample_data_2,exterior,front,007bffc11cb18a5480a19d66bea8b13325f26879.jpg,image_data/sample_data_2/front/007bffc11cb18a5480a19d66bea8b13325f26879.jpg,"(430, 645, 3)"
4855,016e4c5532b925746fd7ed34fd1baa3255dfb339,sample_data_2,exterior,front,016e4c5532b925746fd7ed34fd1baa3255dfb339.jpg,image_data/sample_data_2/front/016e4c5532b925746fd7ed34fd1baa3255dfb339.jpg,"(399, 600, 3)"
4852,0161ebcbcdae25c37a52009e820e1210725e38d9,sample_data_2,exterior,front,0161ebcbcdae25c37a52009e820e1210725e38d9.jpg,image_data/sample_data_2/front/0161ebcbcdae25c37a52009e820e1210725e38d9.jpg,"(430, 645, 3)"
4865,01acbad9a409ba02a4e757eab048e02a264fbf79,sample_data_2,exterior,front,01acbad9a409ba02a4e757eab048e02a264fbf79.jpg,image_data/sample_data_2/front/01acbad9a409ba02a4e757eab048e02a264fbf79.jpg,"(430, 645, 3)"
4835,00802b6bb9cfc0c917e400d13be2738bd065c5f9,sample_data_2,exterior,front,00802b6bb9cfc0c917e400d13be2738bd065c5f9.jpg,image_data/sample_data_2/front/00802b6bb9cfc0c917e400d13be2738bd065c5f9.jpg,"(430, 645, 3)"
4885,026c6ca69d7de0d8f5530d52d3fc2b6ca0c8d659,sample_data_2,exterior,front,026c6ca69d7de0d8f5530d52d3fc2b6ca0c8d659.jpg,image_data/sample_data_2/front/026c6ca69d7de0d8f5530d52d3fc2b6ca0c8d659.jpg,"(430, 645, 3)"
4889,02a3ec56f4b04a3e6a43ce68dd032de74decd229,sample_data_2,exterior,front,02a3ec56f4b04a3e6a43ce68dd032de74decd229.jpg,image_data/sample_data_2/front/02a3ec56f4b04a3e6a43ce68dd032de74decd229.jpg,"(430, 640, 3)"
4844,00f516b30bed30b832538371fdea6b1d3c1dbcd9,sample_data_2,exterior,front,00f516b30bed30b832538371fdea6b1d3c1dbcd9.jpg,image_data/sample_data_2/front/00f516b30bed30b832538371fdea6b1d3c1dbcd9.jpg,"(430, 645, 3)"
4850,0158a8dbe99d76931d262bd8cacd4142f38a1b49,sample_data_2,exterior,front,0158a8dbe99d76931d262bd8cacd4142f38a1b49.jpg,image_data/sample_data_2/front/0158a8dbe99d76931d262bd8cacd4142f38a1b49.jpg,"(430, 645, 3)"
4311,f94391fa12d5e003013e9e795c5707c133ac532e,sample_data,exterior,front,f94391fa12d5e003013e9e795c5707c133ac532e.jpg,image_data/sample_data/front/f94391fa12d5e003013e9e795c5707c133ac532e.jpg,"(430, 645, 3)"
4906,0395e81d251ca1d225aa72a88a62924a3540a849,sample_data_2,exterior,front,0395e81d251ca1d225aa72a88a62924a3540a849.jpg,image_data/sample_data_2/front/0395e81d251ca1d225aa72a88a62924a3540a849.jpg,"(430, 645, 3)"
4845,00ffc3fee0c2c98d8940b7faf9a4ea4dbf78cf09,sample_data_2,exterior,front,00ffc3fee0c2c98d8940b7faf9a4ea4dbf78cf09.jpg,image_data/sample_data_2/front/00ffc3fee0c2c98d8940b7faf9a4ea4dbf78cf09.jpg,"(430, 645, 3)"
4879,021d37ae66ff9cd79234f808fe9c3bda5c6db719,sample_data_2,exterior,front,021d37ae66ff9cd79234f808fe9c3bda5c6db719.jpg,image_data/sample_data_2/front/021d37ae66ff9cd79234f808fe9c3bda5c6db719.jpg,"(430, 645, 3)"
4884,026b54157583aaadc1ec3e2c98b0933f81d77b89,sample_data_2,exterior,front,026b54157583aaadc1ec3e2c98b0933f81d77b89.jpg,image_data/sample_data_2/front/026b54157583aaadc1ec3e2c98b0933f81d77b89.jpg,"(430, 645, 3)"
4312,f97f136ac4495e62f87f82e4f7ea9f4c8ad2d098,sample_data,exterior,front,f97f136ac4495e62f87f82e4f7ea9f4c8ad2d098.jpg,image_data/sample_data/front/f97f136ac4495e62f87f82e4f7ea9f4c8ad2d098.jpg,"(430, 645, 3)"
4878,021220bb8c46df158b05848c630bec7ef66128c9,sample_data_2,exterior,front,021220bb8c46df158b05848c630bec7ef66128c9.jpg,image_data/sample_data_2/front/021220bb8c46df158b05848c630bec7ef66128c9.jpg,"(430, 644, 3)"
4301,36299552ee5c5f514756018a282d064f884bbf2a,sample_data,exterior,front,36299552ee5c5f514756018a282d064f884bbf2a.jpg,image_data/sample_data/front/36299552ee5c5f514756018a282d064f884bbf2a.jpg,"(430, 641, 3)"
4848,0130988e4f088ed8721738e8b98f49dcbbd5d449,sample_data_2,exterior,front,0130988e4f088ed8721738e8b98f49dcbbd5d449.jpg,image_data/sample_data_2/front/0130988e4f088ed8721738e8b98f49dcbbd5d449.jpg,"(430, 645, 3)"
4894,02d6016c100efe0d6d5dba6e93ba6517f29da209,sample_data_2,exterior,front,02d6016c100efe0d6d5dba6e93ba6517f29da209.jpg,image_data/sample_data_2/front/02d6016c100efe0d6d5dba6e93ba6517f29da209.jpg,"(430, 645, 3)"
4912,03be636803508fc3da4ceeb76ab7c20f251bd459,sample_data_2,exterior,front,03be636803508fc3da4ceeb76ab7c20f251bd459.jpg,image_data/sample_data_2/front/03be636803508fc3da4ceeb76ab7c20f251bd459.jpg,"(430, 645, 3)"
4869,01c7abb51fc21d4c7bf41948bd7f59abcd055079,sample_data_2,exterior,front,01c7abb51fc21d4c7bf41948bd7f59abcd055079.jpg,image_data/sample_data_2/front/01c7abb51fc21d4c7bf41948bd7f59abcd055079.jpg,"(430, 645, 3)"
4310,e1e0976df51635fcf36d35e1ebe4044a5363f492,sample_data,exterior,front,e1e0976df51635fcf36d35e1ebe4044a5363f492.jpg,image_data/sample_data/front/e1e0976df51635fcf36d35e1ebe4044a5363f492.jpg,"(430, 645, 3)"
4830,001db2964a34bf92efd6e4d3d676caf2fae3b8a9,sample_data_2,exterior,front,001db2964a34bf92efd6e4d3d676caf2fae3b8a9.jpg,image_data/sample_data_2/front/001db2964a34bf92efd6e4d3d676caf2fae3b8a9.jpg,"(412, 620, 3)"
4914,03f600ba6efd14cd9b989f06a03cd56cfcace7b9,sample_data_2,exterior,front,03f600ba6efd14cd9b989f06a03cd56cfcace7b9.jpg,image_data/sample_data_2/front/03f600ba6efd14cd9b989f06a03cd56cfcace7b9.jpg,"(430, 645, 3)"
4866,01b2f7acc6c26d745f3a54a5b058eaf8bbc6df99,sample_data_2,exterior,front,01b2f7acc6c26d745f3a54a5b058eaf8bbc6df99.jpg,image_data/sample_data_2/front/01b2f7acc6c26d745f3a54a5b058eaf8bbc6df99.jpg,"(430, 645, 3)"
4922,0447ca9ba87481292ccccd04b24c389e5903b8a9,sample_data_2,exterior,front,0447ca9ba87481292ccccd04b24c389e5903b8a9.jpg,image_data/sample_data_2/front/0447ca9ba87481292ccccd04b24c389e5903b8a9.jpg,"(430, 644, 3)"
4862,0191a120e33c923c280c68fd0b0840e27f492739,sample_data_2,exterior,front,0191a120e33c923c280c68fd0b0840e27f492739.jpg,image_data/sample_data_2/front/0191a120e33c923c280c68fd0b0840e27f492739.jpg,"(412, 620, 3)"
4836,009f33b0ba17d89087ec8c0ef13792454296f969,sample_data_2,exterior,front,009f33b0ba17d89087ec8c0ef13792454296f969.jpg,image_data/sample_data_2/front/009f33b0ba17d89087ec8c0ef13792454296f969.jpg,"(298, 450, 3)"
4872,01e17c4349b8b491a5966978c7ec0172fc4dc669,sample_data_2,exterior,front,01e17c4349b8b491a5966978c7ec0172fc4dc669.jpg,image_data/sample_data_2/front/01e17c4349b8b491a5966978c7ec0172fc4dc669.jpg,"(430, 645, 3)"
4920,04289f31a26c7d1389ec619a10ab5bef4ad848e9,sample_data_2,exterior,front,04289f31a26c7d1389ec619a10ab5bef4ad848e9.jpg,image_data/sample_data_2/front/04289f31a26c7d1389ec619a10ab5bef4ad848e9.jpg,"(430, 645, 3)"
