,id,dataset,int_ext,room,jpg_filename,image_path,orig_tensor_dim
4960,025f80fab9766e909011c1dba09a400b65c837e9 (1),sample_data_2,exterior,garden,025f80fab9766e909011c1dba09a400b65c837e9 (1).jpg,image_data/sample_data_2/garden/025f80fab9766e909011c1dba09a400b65c837e9 (1).jpg,"(430, 645, 3)"
5002,04277cc894364de69de0526514f1bf7814af71e9 (1),sample_data_2,exterior,garden,04277cc894364de69de0526514f1bf7814af71e9 (1).jpg,image_data/sample_data_2/garden/04277cc894364de69de0526514f1bf7814af71e9 (1).jpg,"(430, 645, 3)"
4932,0069bdde4552f46dbf159325ced708c4b360c989,sample_data_2,exterior,garden,0069bdde4552f46dbf159325ced708c4b360c989.jpg,image_data/sample_data_2/garden/0069bdde4552f46dbf159325ced708c4b360c989.jpg,"(430, 645, 3)"
5007,045b4e59a8c44b0b90e5f652cd22ed9a79e65209,sample_data_2,exterior,garden,045b4e59a8c44b0b90e5f652cd22ed9a79e65209.jpg,image_data/sample_data_2/garden/045b4e59a8c44b0b90e5f652cd22ed9a79e65209.jpg,"(430, 645, 3)"
4315,5e55cf280fd2a88aab6606a83a9a09bd46411185,sample_data,exterior,garden,5e55cf280fd2a88aab6606a83a9a09bd46411185.jpg,image_data/sample_data/garden/5e55cf280fd2a88aab6606a83a9a09bd46411185.jpg,"(429, 645, 3)"
4986,0382d80515d62163b134d2c5989321795892d479 (1),sample_data_2,exterior,garden,0382d80515d62163b134d2c5989321795892d479 (1).jpg,image_data/sample_data_2/garden/0382d80515d62163b134d2c5989321795892d479 (1).jpg,"(430, 645, 3)"
4961,025f80fab9766e909011c1dba09a400b65c837e9,sample_data_2,exterior,garden,025f80fab9766e909011c1dba09a400b65c837e9.jpg,image_data/sample_data_2/garden/025f80fab9766e909011c1dba09a400b65c837e9.jpg,"(430, 645, 3)"
4996,03e8615843c40d76c449c1ee84fca084e2916b09 (1),sample_data_2,exterior,garden,03e8615843c40d76c449c1ee84fca084e2916b09 (1).jpg,image_data/sample_data_2/garden/03e8615843c40d76c449c1ee84fca084e2916b09 (1).jpg,"(430, 644, 3)"
4931,004d039b0eecf297cc48a3a143cb61787c5a6159,sample_data_2,exterior,garden,004d039b0eecf297cc48a3a143cb61787c5a6159.jpg,image_data/sample_data_2/garden/004d039b0eecf297cc48a3a143cb61787c5a6159.jpg,"(430, 645, 3)"
4952,01fb76fdf815336febd674718cae122f7752ec69,sample_data_2,exterior,garden,01fb76fdf815336febd674718cae122f7752ec69.jpg,image_data/sample_data_2/garden/01fb76fdf815336febd674718cae122f7752ec69.jpg,"(430, 645, 3)"
4940,014acec2ddc7cb5b9f36f2b8dfa8959a947ce1e9,sample_data_2,exterior,garden,014acec2ddc7cb5b9f36f2b8dfa8959a947ce1e9.jpg,image_data/sample_data_2/garden/014acec2ddc7cb5b9f36f2b8dfa8959a947ce1e9.jpg,"(430, 645, 3)"
4956,022f1d640b39ef6ff91aa4bcb1252d400bf75cc9,sample_data_2,exterior,garden,022f1d640b39ef6ff91aa4bcb1252d400bf75cc9.jpg,image_data/sample_data_2/garden/022f1d640b39ef6ff91aa4bcb1252d400bf75cc9.jpg,"(430, 644, 3)"
4984,03767f63340f511b6f81db0e335bcf85b96f0d59,sample_data_2,exterior,garden,03767f63340f511b6f81db0e335bcf85b96f0d59.jpg,image_data/sample_data_2/garden/03767f63340f511b6f81db0e335bcf85b96f0d59.jpg,"(430, 645, 3)"
4943,01806ff1e35fc29795be4c661b3083e3a526d939 (1),sample_data_2,exterior,garden,01806ff1e35fc29795be4c661b3083e3a526d939 (1).jpg,image_data/sample_data_2/garden/01806ff1e35fc29795be4c661b3083e3a526d939 (1).jpg,"(430, 645, 3)"
4953,0200b3361ed31f5b1313a03a068e9626aaf4b7f9 (1),sample_data_2,exterior,garden,0200b3361ed31f5b1313a03a068e9626aaf4b7f9 (1).jpg,image_data/sample_data_2/garden/0200b3361ed31f5b1313a03a068e9626aaf4b7f9 (1).jpg,"(429, 645, 3)"
4955,021972a2c8ab1110ebc482f946f21623d2116489,sample_data_2,exterior,garden,021972a2c8ab1110ebc482f946f21623d2116489.jpg,image_data/sample_data_2/garden/021972a2c8ab1110ebc482f946f21623d2116489.jpg,"(430, 645, 3)"
4957,024772b04b6956a54b2f4bb215edaf05c0c30019,sample_data_2,exterior,garden,024772b04b6956a54b2f4bb215edaf05c0c30019.jpg,image_data/sample_data_2/garden/024772b04b6956a54b2f4bb215edaf05c0c30019.jpg,"(430, 645, 3)"
4970,02e2b996eba1c1dc63a629259123e543d22ef839,sample_data_2,exterior,garden,02e2b996eba1c1dc63a629259123e543d22ef839.jpg,image_data/sample_data_2/garden/02e2b996eba1c1dc63a629259123e543d22ef839.jpg,"(430, 645, 3)"
4971,02e5520437700b7947224d8c049974f2e658b109,sample_data_2,exterior,garden,02e5520437700b7947224d8c049974f2e658b109.jpg,image_data/sample_data_2/garden/02e5520437700b7947224d8c049974f2e658b109.jpg,"(430, 645, 3)"
4980,0343cba9dee3b937e30ce4fe0e08ca008af71da9,sample_data_2,exterior,garden,0343cba9dee3b937e30ce4fe0e08ca008af71da9.jpg,image_data/sample_data_2/garden/0343cba9dee3b937e30ce4fe0e08ca008af71da9.jpg,"(430, 645, 3)"
4979,033bc66350b30171828efaf7d500ba0e7983a689,sample_data_2,exterior,garden,033bc66350b30171828efaf7d500ba0e7983a689.jpg,image_data/sample_data_2/garden/033bc66350b30171828efaf7d500ba0e7983a689.jpg,"(430, 645, 3)"
4974,02f373b4234b40b1c7eae76947ad2858fb1e61a9,sample_data_2,exterior,garden,02f373b4234b40b1c7eae76947ad2858fb1e61a9.jpg,image_data/sample_data_2/garden/02f373b4234b40b1c7eae76947ad2858fb1e61a9.jpg,"(430, 645, 3)"
4962,0262207761c65b7927386cb4bf52ebe23fbac259 (1),sample_data_2,exterior,garden,0262207761c65b7927386cb4bf52ebe23fbac259 (1).jpg,image_data/sample_data_2/garden/0262207761c65b7927386cb4bf52ebe23fbac259 (1).jpg,"(430, 645, 3)"
4935,010e03e377c0bbe3006883504afc342fcc6a0949,sample_data_2,exterior,garden,010e03e377c0bbe3006883504afc342fcc6a0949.jpg,image_data/sample_data_2/garden/010e03e377c0bbe3006883504afc342fcc6a0949.jpg,"(430, 645, 3)"
4945,018cdcdeab0e38bc0e6323ff9db62ac943cce809 (1),sample_data_2,exterior,garden,018cdcdeab0e38bc0e6323ff9db62ac943cce809 (1).jpg,image_data/sample_data_2/garden/018cdcdeab0e38bc0e6323ff9db62ac943cce809 (1).jpg,"(430, 645, 3)"
4990,03a30494bd3661c9514da0b168db5a79c811ab79,sample_data_2,exterior,garden,03a30494bd3661c9514da0b168db5a79c811ab79.jpg,image_data/sample_data_2/garden/03a30494bd3661c9514da0b168db5a79c811ab79.jpg,"(430, 645, 3)"
4967,02d6b98df1f3e4a70848de646fc4b9fa87f5a6b9 (1),sample_data_2,exterior,garden,02d6b98df1f3e4a70848de646fc4b9fa87f5a6b9 (1).jpg,image_data/sample_data_2/garden/02d6b98df1f3e4a70848de646fc4b9fa87f5a6b9 (1).jpg,"(430, 645, 3)"
4951,01fb76fdf815336febd674718cae122f7752ec69 (1),sample_data_2,exterior,garden,01fb76fdf815336febd674718cae122f7752ec69 (1).jpg,image_data/sample_data_2/garden/01fb76fdf815336febd674718cae122f7752ec69 (1).jpg,"(430, 645, 3)"
4320,a9476f68e0cb1b15e220ad845579ca1e59fbbfed,sample_data,exterior,garden,a9476f68e0cb1b15e220ad845579ca1e59fbbfed.jpg,image_data/sample_data/garden/a9476f68e0cb1b15e220ad845579ca1e59fbbfed.jpg,"(430, 645, 3)"
