,id,dataset,int_ext,room,jpg_filename,image_path,orig_tensor_dim
4306,b650ec1da81d59183855ff79d6498e3a0e524d61,sample_data,exterior,front,b650ec1da81d59183855ff79d6498e3a0e524d61.jpg,image_data/sample_data/front/b650ec1da81d59183855ff79d6498e3a0e524d61.jpg,"(430, 645, 3)"
4863,0191b30e1dc6f796bdf46faf5aa41ab335f177f9,sample_data_2,exterior,front,0191b30e1dc6f796bdf46faf5aa41ab335f177f9.jpg,image_data/sample_data_2/front/0191b30e1dc6f796bdf46faf5aa41ab335f177f9.jpg,"(430, 645, 3)"
4846,01038ae707d7f382a8d912d8ca40677f80752349,sample_data_2,exterior,front,01038ae707d7f382a8d912d8ca40677f80752349.jpg,image_data/sample_data_2/front/01038ae707d7f382a8d912d8ca40677f80752349.jpg,"(430, 645, 3)"
4299,016fe22fc98f22270fe3f455461f0dceb4ae4ec4,sample_data,exterior,front,016fe22fc98f22270fe3f455461f0dceb4ae4ec4.jpg,image_data/sample_data/front/016fe22fc98f22270fe3f455461f0dceb4ae4ec4.jpg,"(430, 645, 3)"
4843,00f0a6ef5430a78d83c574f4cc24600717fb3bc9,sample_data_2,exterior,front,00f0a6ef5430a78d83c574f4cc24600717fb3bc9.jpg,image_data/sample_data_2/front/00f0a6ef5430a78d83c574f4cc24600717fb3bc9.jpg,"(430, 645, 3)"
4910,03a7db72ad9f7808d2b60948070d5c2d0a4e01a9,sample_data_2,exterior,front,03a7db72ad9f7808d2b60948070d5c2d0a4e01a9.jpg,image_data/sample_data_2/front/03a7db72ad9f7808d2b60948070d5c2d0a4e01a9.jpg,"(430, 645, 3)"
4857,0172145555f57b31a2cf222c218c292d67a685e9,sample_data_2,exterior,front,0172145555f57b31a2cf222c218c292d67a685e9.jpg,image_data/sample_data_2/front/0172145555f57b31a2cf222c218c292d67a685e9.jpg,"(430, 645, 3)"
4899,02ec15ab44ac157402d3733a2509ba3dc209fbc9,sample_data_2,exterior,front,02ec15ab44ac157402d3733a2509ba3dc209fbc9.jpg,image_data/sample_data_2/front/02ec15ab44ac157402d3733a2509ba3dc209fbc9.jpg,"(430, 581, 3)"
4916,03f7b3d3762b5bd1e0832ba3e975a9e779742099,sample_data_2,exterior,front,03f7b3d3762b5bd1e0832ba3e975a9e779742099.jpg,image_data/sample_data_2/front/03f7b3d3762b5bd1e0832ba3e975a9e779742099.jpg,"(430, 645, 3)"
4833,007bffc11cb18a5480a19d66bea8b13325f26879,sample_data_2,exterior,front,007bffc11cb18a5480a19d66bea8b13325f26879.jpg,image_data/sample_data_2/front/007bffc11cb18a5480a19d66bea8b13325f26879.jpg,"(430, 645, 3)"
