,id,room_reclass,room_base,room_uncertain,filename,image_path_reclass,image_path_base,image_path_uncertain
478,29d5de6732a5b8ad0488924d9e44cd8c94d2c569,exclude,bedroom,uncertain,29d5de6732a5b8ad0488924d9e44cd8c94d2c569.jpg,./data/base_data/exclude/29d5de6732a5b8ad0488924d9e44cd8c94d2c569.jpg,./data/base_data/bedroom/29d5de6732a5b8ad0488924d9e44cd8c94d2c569.jpg,./data/base_data/uncertain/29d5de6732a5b8ad0488924d9e44cd8c94d2c569.jpg
478,29d5de6732a5b8ad0488924d9e44cd8c94d2c569,exclude,bedroom,uncertain,29d5de6732a5b8ad0488924d9e44cd8c94d2c569.jpg,./data/base_data/exclude/29d5de6732a5b8ad0488924d9e44cd8c94d2c569.jpg,./data/base_data/bedroom/29d5de6732a5b8ad0488924d9e44cd8c94d2c569.jpg,./data/base_data/uncertain/29d5de6732a5b8ad0488924d9e44cd8c94d2c569.jpg
39,0551c5c22af07e8415df25737180a04e09174bf5,exclude,misc_int,uncertain,0551c5c22af07e8415df25737180a04e09174bf5.jpg,./data/base_data/exclude/0551c5c22af07e8415df25737180a04e09174bf5.jpg,./data/base_data/misc_int/0551c5c22af07e8415df25737180a04e09174bf5.jpg,./data/base_data/uncertain/0551c5c22af07e8415df25737180a04e09174bf5.jpg
264,077c12c944933f3ba55376c289beffbbc9e86a73,exclude,study,uncertain,077c12c944933f3ba55376c289beffbbc9e86a73.jpg,./data/base_data/exclude/077c12c944933f3ba55376c289beffbbc9e86a73.jpg,./data/base_data/study/077c12c944933f3ba55376c289beffbbc9e86a73.jpg,./data/base_data/uncertain/077c12c944933f3ba55376c289beffbbc9e86a73.jpg
52,056db3637dcca6dd50591c5918ee09d99411037b,exclude,misc_int,uncertain,056db3637dcca6dd50591c5918ee09d99411037b.jpg,./data/base_data/exclude/056db3637dcca6dd50591c5918ee09d99411037b.jpg,./data/base_data/misc_int/056db3637dcca6dd50591c5918ee09d99411037b.jpg,./data/base_data/uncertain/056db3637dcca6dd50591c5918ee09d99411037b.jpg
212,06f8fc217f1fbbc2679e673aa4ec7f440c3a4734,exclude,diningroom,uncertain,06f8fc217f1fbbc2679e673aa4ec7f440c3a4734.jpg,./data/base_data/exclude/06f8fc217f1fbbc2679e673aa4ec7f440c3a4734.jpg,./data/base_data/diningroom/06f8fc217f1fbbc2679e673aa4ec7f440c3a4734.jpg,./data/base_data/uncertain/06f8fc217f1fbbc2679e673aa4ec7f440c3a4734.jpg
250,075af6bd08cfa8df307c7db55530eb086bab724d,exclude,misc_int,uncertain,075af6bd08cfa8df307c7db55530eb086bab724d.jpg,./data/base_data/exclude/075af6bd08cfa8df307c7db55530eb086bab724d.jpg,./data/base_data/misc_int/075af6bd08cfa8df307c7db55530eb086bab724d.jpg,./data/base_data/uncertain/075af6bd08cfa8df307c7db55530eb086bab724d.jpg
128,063cdec519be5b7fcfaeedec6c20e9973d9ef512,exclude,misc_ext,uncertain,063cdec519be5b7fcfaeedec6c20e9973d9ef512.jpg,./data/base_data/exclude/063cdec519be5b7fcfaeedec6c20e9973d9ef512.jpg,./data/base_data/misc_ext/063cdec519be5b7fcfaeedec6c20e9973d9ef512.jpg,./data/base_data/uncertain/063cdec519be5b7fcfaeedec6c20e9973d9ef512.jpg
267,0786107d2ad0170bfceeb9631572b5ef6b164326,exclude,misc_int,uncertain,0786107d2ad0170bfceeb9631572b5ef6b164326.jpg,./data/base_data/exclude/0786107d2ad0170bfceeb9631572b5ef6b164326.jpg,./data/base_data/misc_int/0786107d2ad0170bfceeb9631572b5ef6b164326.jpg,./data/base_data/uncertain/0786107d2ad0170bfceeb9631572b5ef6b164326.jpg
31,0536c9b06e3cbdc9d774452b0cfe9b93c16862cd,exclude,study,uncertain,0536c9b06e3cbdc9d774452b0cfe9b93c16862cd.jpg,./data/base_data/exclude/0536c9b06e3cbdc9d774452b0cfe9b93c16862cd.jpg,./data/base_data/study/0536c9b06e3cbdc9d774452b0cfe9b93c16862cd.jpg,./data/base_data/uncertain/0536c9b06e3cbdc9d774452b0cfe9b93c16862cd.jpg
385,089b7bc0a4b7a68f9fc9e1bf51558567e0c0f328,exclude,misc_int,uncertain,089b7bc0a4b7a68f9fc9e1bf51558567e0c0f328.jpg,./data/base_data/exclude/089b7bc0a4b7a68f9fc9e1bf51558567e0c0f328.jpg,./data/base_data/misc_int/089b7bc0a4b7a68f9fc9e1bf51558567e0c0f328.jpg,./data/base_data/uncertain/089b7bc0a4b7a68f9fc9e1bf51558567e0c0f328.jpg
212,06f8fc217f1fbbc2679e673aa4ec7f440c3a4734,exclude,diningroom,uncertain,06f8fc217f1fbbc2679e673aa4ec7f440c3a4734.jpg,./data/base_data/exclude/06f8fc217f1fbbc2679e673aa4ec7f440c3a4734.jpg,./data/base_data/diningroom/06f8fc217f1fbbc2679e673aa4ec7f440c3a4734.jpg,./data/base_data/uncertain/06f8fc217f1fbbc2679e673aa4ec7f440c3a4734.jpg
31,0536c9b06e3cbdc9d774452b0cfe9b93c16862cd,exclude,study,uncertain,0536c9b06e3cbdc9d774452b0cfe9b93c16862cd.jpg,./data/base_data/exclude/0536c9b06e3cbdc9d774452b0cfe9b93c16862cd.jpg,./data/base_data/study/0536c9b06e3cbdc9d774452b0cfe9b93c16862cd.jpg,./data/base_data/uncertain/0536c9b06e3cbdc9d774452b0cfe9b93c16862cd.jpg
460,0957c41f5a2140afea55e726c66a28acf7564f1f,exclude,misc_int,uncertain,0957c41f5a2140afea55e726c66a28acf7564f1f.jpg,./data/base_data/exclude/0957c41f5a2140afea55e726c66a28acf7564f1f.jpg,./data/base_data/misc_int/0957c41f5a2140afea55e726c66a28acf7564f1f.jpg,./data/base_data/uncertain/0957c41f5a2140afea55e726c66a28acf7564f1f.jpg
460,0957c41f5a2140afea55e726c66a28acf7564f1f,exclude,misc_int,uncertain,0957c41f5a2140afea55e726c66a28acf7564f1f.jpg,./data/base_data/exclude/0957c41f5a2140afea55e726c66a28acf7564f1f.jpg,./data/base_data/misc_int/0957c41f5a2140afea55e726c66a28acf7564f1f.jpg,./data/base_data/uncertain/0957c41f5a2140afea55e726c66a28acf7564f1f.jpg
323,0809b13193562c13aa23b098b82d049b50b54485,exclude,misc_ext,uncertain,0809b13193562c13aa23b098b82d049b50b54485.jpg,./data/base_data/exclude/0809b13193562c13aa23b098b82d049b50b54485.jpg,./data/base_data/misc_ext/0809b13193562c13aa23b098b82d049b50b54485.jpg,./data/base_data/uncertain/0809b13193562c13aa23b098b82d049b50b54485.jpg
230,0723347c492bb7662cf823b10bd992d37a889d90,exclude,misc_int,uncertain,0723347c492bb7662cf823b10bd992d37a889d90.jpg,./data/base_data/exclude/0723347c492bb7662cf823b10bd992d37a889d90.jpg,./data/base_data/misc_int/0723347c492bb7662cf823b10bd992d37a889d90.jpg,./data/base_data/uncertain/0723347c492bb7662cf823b10bd992d37a889d90.jpg
