,id,dataset,int_ext,room,jpg_filename,image_path,orig_tensor_dim
5054,01c568e157955d674cd334b3ac7aa536a2496549,sample_data_2,interior,kitchen,01c568e157955d674cd334b3ac7aa536a2496549.jpg,image_data/sample_data_2/kitchen/01c568e157955d674cd334b3ac7aa536a2496549.jpg,"(430, 644, 3)"
5059,01f3a890937f694b2a3f56845195c1ac120b5b79,sample_data_2,interior,kitchen,01f3a890937f694b2a3f56845195c1ac120b5b79.jpg,image_data/sample_data_2/kitchen/01f3a890937f694b2a3f56845195c1ac120b5b79.jpg,"(430, 645, 3)"
5022,007653e41ecaee852d61e214d8245f8a97f385e9,sample_data_2,interior,kitchen,007653e41ecaee852d61e214d8245f8a97f385e9.jpg,image_data/sample_data_2/kitchen/007653e41ecaee852d61e214d8245f8a97f385e9.jpg,"(430, 645, 3)"
5063,021fec7353c8f1ee43a538fbe6ae1fb7a3300a99,sample_data_2,interior,kitchen,021fec7353c8f1ee43a538fbe6ae1fb7a3300a99.jpg,image_data/sample_data_2/kitchen/021fec7353c8f1ee43a538fbe6ae1fb7a3300a99.jpg,"(430, 645, 3)"
5125,0470521b0764e858e021139c3d86aa0236373499,sample_data_2,interior,kitchen,0470521b0764e858e021139c3d86aa0236373499.jpg,image_data/sample_data_2/kitchen/0470521b0764e858e021139c3d86aa0236373499.jpg,"(430, 645, 3)"
5094,036a438b237e77c42ea041fcc17a2367fb289a69,sample_data_2,interior,kitchen,036a438b237e77c42ea041fcc17a2367fb289a69.jpg,image_data/sample_data_2/kitchen/036a438b237e77c42ea041fcc17a2367fb289a69.jpg,"(430, 645, 3)"
5062,020bf8b37d30ba9cffee8c13d04d146a826cb9d9,sample_data_2,interior,kitchen,020bf8b37d30ba9cffee8c13d04d146a826cb9d9.jpg,image_data/sample_data_2/kitchen/020bf8b37d30ba9cffee8c13d04d146a826cb9d9.jpg,"(430, 645, 3)"
5032,00bc5f7d2ab2d6210435f85d741bdab3205578c9,sample_data_2,interior,kitchen,00bc5f7d2ab2d6210435f85d741bdab3205578c9.jpg,image_data/sample_data_2/kitchen/00bc5f7d2ab2d6210435f85d741bdab3205578c9.jpg,"(374, 645, 3)"
5016,0051ca231b1672376f250bea4c45e59b8dfbad19,sample_data_2,interior,kitchen,0051ca231b1672376f250bea4c45e59b8dfbad19.jpg,image_data/sample_data_2/kitchen/0051ca231b1672376f250bea4c45e59b8dfbad19.jpg,"(430, 645, 3)"
5118,04420ed63162af29ff76d443a3bddda7ba4894d9,sample_data_2,interior,kitchen,04420ed63162af29ff76d443a3bddda7ba4894d9.jpg,image_data/sample_data_2/kitchen/04420ed63162af29ff76d443a3bddda7ba4894d9.jpg,"(430, 645, 3)"
5083,03116bc484da8221df9d15556b866520c6c3b229,sample_data_2,interior,kitchen,03116bc484da8221df9d15556b866520c6c3b229.jpg,image_data/sample_data_2/kitchen/03116bc484da8221df9d15556b866520c6c3b229.jpg,"(430, 645, 3)"
5126,0470a595572bb0897c9928c621a542d3a70263c9,sample_data_2,interior,kitchen,0470a595572bb0897c9928c621a542d3a70263c9.jpg,image_data/sample_data_2/kitchen/0470a595572bb0897c9928c621a542d3a70263c9.jpg,"(430, 645, 3)"
5024,0079be2d4a42384ca6fdded4cb3697a0ad147d39,sample_data_2,interior,kitchen,0079be2d4a42384ca6fdded4cb3697a0ad147d39.jpg,image_data/sample_data_2/kitchen/0079be2d4a42384ca6fdded4cb3697a0ad147d39.jpg,"(430, 645, 3)"
