,room,label1,label1_P,label2,label2_P,label3,label3_P,label1_correct,label2_correct,label3_correct,image_path,filename,id
1383,bedroom,livingroom,0.5379351973533629,diningroom,0.3679147958755493,bedroom,0.06386718899011612,False,False,True,./data/test_data/bedroom/249afc068220428416425c142716ea59d5dc3a69.jpg,249afc068220428416425c142716ea59d5dc3a69.jpg,249afc068220428416425c142716ea59d5dc3a69
2848,kitchen,empty,0.8984315991401672,misc_int,0.03005601465702057,study,0.0183386504650116,False,False,False,./data/test_data/kitchen/222a407503c21a64b95f3448a421013827340c09.jpg,222a407503c21a64b95f3448a421013827340c09.jpg,222a407503c21a64b95f3448a421013827340c09
3517,livingroom,misc_int,0.4423876106739044,study,0.3847076296806336,livingroom,0.0844816192984581,False,False,True,./data/test_data/livingroom/09502290207de0b547efe3a176d6afa993d8ad54.jpg,09502290207de0b547efe3a176d6afa993d8ad54.jpg,09502290207de0b547efe3a176d6afa993d8ad54
1751,diningroom,kitchen,0.8838278651237488,study,0.032600462436676025,livingroom,0.02570074982941151,False,False,False,./data/test_data/diningroom/29f4c7c3810c938626de1c148d53fbcfb6e1a709.jpg,29f4c7c3810c938626de1c148d53fbcfb6e1a709.jpg,29f4c7c3810c938626de1c148d53fbcfb6e1a709
1833,empty,bedroom,0.5818295478820801,misc_int,0.1556689441204071,empty,0.1243513450026512,False,False,True,./data/test_data/empty/05c3fb8c9dabc6368625fec93a8385e96b1fb36d.jpg,05c3fb8c9dabc6368625fec93a8385e96b1fb36d.jpg,05c3fb8c9dabc6368625fec93a8385e96b1fb36d
3774,misc_int,empty,0.2266777902841568,study,0.2052040100097656,livingroom,0.2048235684633255,False,False,False,./data/test_data/misc_int/08e0f957eb790d7ef802d9db246747caf18bb5ee.jpg,08e0f957eb790d7ef802d9db246747caf18bb5ee.jpg,08e0f957eb790d7ef802d9db246747caf18bb5ee
2171,entrance,study,0.2946479320526123,misc_int,0.2861728072166443,livingroom,0.1198725551366806,False,False,False,./data/test_data/entrance/0751e43e2d20e887697cc5ad06e178c050241927.jpg,0751e43e2d20e887697cc5ad06e178c050241927.jpg,0751e43e2d20e887697cc5ad06e178c050241927
3252,livingroom,empty,0.7846516370773315,kitchen,0.11318979412317275,livingroom,0.06964345276355742,False,False,True,./data/test_data/livingroom/0762dcd004a350490a97a7f5d8753371b10b2f57.jpg,0762dcd004a350490a97a7f5d8753371b10b2f57.jpg,0762dcd004a350490a97a7f5d8753371b10b2f57
3758,misc_int,livingroom,0.44534394145011896,study,0.19235368072986606,kitchen,0.1740921586751938,False,False,False,./data/test_data/misc_int/08740b113243d1f9907d125806753a5709a315b7.jpg,08740b113243d1f9907d125806753a5709a315b7.jpg,08740b113243d1f9907d125806753a5709a315b7
2426,kitchen,empty,0.29372236132621765,livingroom,0.29050907492637634,bathroom,0.1316969394683838,False,False,False,./data/test_data/kitchen/06385326b58aac1881297aaf86b94291b5f237b4.jpg,06385326b58aac1881297aaf86b94291b5f237b4.jpg,06385326b58aac1881297aaf86b94291b5f237b4
2220,entrance,empty,0.4166801571846008,bedroom,0.21866415441036224,kitchen,0.15816427767276764,False,False,False,./data/test_data/entrance/219304066d0f7dc4cec6abf20c1b42f085e21059.jpg,219304066d0f7dc4cec6abf20c1b42f085e21059.jpg,219304066d0f7dc4cec6abf20c1b42f085e21059
1573,diningroom,kitchen,0.6159162521362305,study,0.18563832342624664,diningroom,0.06810595095157622,False,False,True,./data/test_data/diningroom/0658bb677ffc7bcf3abfaee2148306dcff2d9f52.jpg,0658bb677ffc7bcf3abfaee2148306dcff2d9f52.jpg,0658bb677ffc7bcf3abfaee2148306dcff2d9f52
307,bathroom,entrance,0.5689481496810913,misc_int,0.27616754174232483,bathroom,0.06566426157951355,False,False,True,./data/test_data/bathroom/07ac9a7c227d9ef3f0480419b62f662c3133cc7d.jpg,07ac9a7c227d9ef3f0480419b62f662c3133cc7d.jpg,07ac9a7c227d9ef3f0480419b62f662c3133cc7d
134,bathroom,bedroom,0.5193622112274171,misc_int,0.17266662418842316,kitchen,0.09237072616815567,False,False,False,./data/test_data/bathroom/06008eb751d715361bdd827fa601eb580cc2d044.jpg,06008eb751d715361bdd827fa601eb580cc2d044.jpg,06008eb751d715361bdd827fa601eb580cc2d044
2229,graphic,bathroom,0.6476919651031494,bedroom,0.18993385136127472,empty,0.05576817691326141,False,False,False,./data/test_data/graphic/0593f2a3ab8af0a50ced44bfbe9ee14cf9df92e3.jpg,0593f2a3ab8af0a50ced44bfbe9ee14cf9df92e3.jpg,0593f2a3ab8af0a50ced44bfbe9ee14cf9df92e3
1466,conservatory,misc_int,0.6830830574035645,empty,0.21099498867988584,entrance,0.02800807729363441,False,False,False,./data/test_data/conservatory/0801ac8a3307aee4e90c533e35f9f874b168ebce.jpg,0801ac8a3307aee4e90c533e35f9f874b168ebce.jpg,0801ac8a3307aee4e90c533e35f9f874b168ebce
1491,diningroom,livingroom,0.30439096689224243,study,0.21941052377223969,misc_int,0.16988347470760345,False,False,False,./data/test_data/diningroom/03cf244acd8e3fe498772fb67004e9693d7bc189.jpg,03cf244acd8e3fe498772fb67004e9693d7bc189.jpg,03cf244acd8e3fe498772fb67004e9693d7bc189
1615,diningroom,entrance,0.3263479769229889,kitchen,0.2027472108602524,diningroom,0.1930963546037674,False,False,True,./data/test_data/diningroom/073f61f67aa3f85c729fb53ae38a6dac384c3972.jpg,073f61f67aa3f85c729fb53ae38a6dac384c3972.jpg,073f61f67aa3f85c729fb53ae38a6dac384c3972
