,id,dataset,int_ext,room,jpg_filename,image_path,orig_tensor_dim
5137,00554fdd48bedeffa81f5ff5083033ec612b06b9,sample_data_2,interior,livingroom,00554fdd48bedeffa81f5ff5083033ec612b06b9.jpg,image_data/sample_data_2/livingroom/00554fdd48bedeffa81f5ff5083033ec612b06b9.jpg,"(430, 645, 3)"
5257,043959abff42c8cbb68756e4d34dc08ae084b449,sample_data_2,interior,livingroom,043959abff42c8cbb68756e4d34dc08ae084b449.jpg,image_data/sample_data_2/livingroom/043959abff42c8cbb68756e4d34dc08ae084b449.jpg,"(430, 644, 3)"
5151,00ba86bb78b04f1c01ac54e44bfbe93483af62e9,sample_data_2,interior,livingroom,00ba86bb78b04f1c01ac54e44bfbe93483af62e9.jpg,image_data/sample_data_2/livingroom/00ba86bb78b04f1c01ac54e44bfbe93483af62e9.jpg,"(430, 645, 3)"
5211,02ee02b84a700806ec1a61b38551d6296e034d39,sample_data_2,interior,livingroom,02ee02b84a700806ec1a61b38551d6296e034d39.jpg,image_data/sample_data_2/livingroom/02ee02b84a700806ec1a61b38551d6296e034d39.jpg,"(430, 645, 3)"
5176,01b1fc53f0c893d06d0abbc19da2665035557ed9,sample_data_2,interior,livingroom,01b1fc53f0c893d06d0abbc19da2665035557ed9.jpg,image_data/sample_data_2/livingroom/01b1fc53f0c893d06d0abbc19da2665035557ed9.jpg,"(430, 645, 3)"
5170,018089652a01204ce5089fc6fb52188e1a541f99,sample_data_2,interior,livingroom,018089652a01204ce5089fc6fb52188e1a541f99.jpg,image_data/sample_data_2/livingroom/018089652a01204ce5089fc6fb52188e1a541f99.jpg,"(430, 645, 3)"
5258,043edf1507628014f2c890030a10e32898c53fe9,sample_data_2,interior,livingroom,043edf1507628014f2c890030a10e32898c53fe9.jpg,image_data/sample_data_2/livingroom/043edf1507628014f2c890030a10e32898c53fe9.jpg,"(430, 645, 3)"
5251,0403257ddefa9b88b62da88e9d158edef1672299,sample_data_2,interior,livingroom,0403257ddefa9b88b62da88e9d158edef1672299.jpg,image_data/sample_data_2/livingroom/0403257ddefa9b88b62da88e9d158edef1672299.jpg,"(430, 645, 3)"
5230,036f25631603a809c4b786bc43b3034af00540a9,sample_data_2,interior,livingroom,036f25631603a809c4b786bc43b3034af00540a9.jpg,image_data/sample_data_2/livingroom/036f25631603a809c4b786bc43b3034af00540a9.jpg,"(430, 645, 3)"
5210,02dfbfc562373d694cdf523cec567de4d9b222b9,sample_data_2,interior,livingroom,02dfbfc562373d694cdf523cec567de4d9b222b9.jpg,image_data/sample_data_2/livingroom/02dfbfc562373d694cdf523cec567de4d9b222b9.jpg,"(430, 645, 3)"
5239,03c25346f74220207dd3bb982b459ee7c6da8ef9,sample_data_2,interior,livingroom,03c25346f74220207dd3bb982b459ee7c6da8ef9.jpg,image_data/sample_data_2/livingroom/03c25346f74220207dd3bb982b459ee7c6da8ef9.jpg,"(430, 645, 3)"
5195,02703dcc089b81d0709574b3f1a57dbee6d8dc09,sample_data_2,interior,livingroom,02703dcc089b81d0709574b3f1a57dbee6d8dc09.jpg,image_data/sample_data_2/livingroom/02703dcc089b81d0709574b3f1a57dbee6d8dc09.jpg,"(430, 644, 3)"
5141,0064985b231ef97091fbbb40bbf01b99264289a9,sample_data_2,interior,livingroom,0064985b231ef97091fbbb40bbf01b99264289a9.jpg,image_data/sample_data_2/livingroom/0064985b231ef97091fbbb40bbf01b99264289a9.jpg,"(399, 600, 3)"
5155,00e8151eaf8c9f453019a5ee8555c75ab781d209,sample_data_2,interior,livingroom,00e8151eaf8c9f453019a5ee8555c75ab781d209.jpg,image_data/sample_data_2/livingroom/00e8151eaf8c9f453019a5ee8555c75ab781d209.jpg,"(430, 645, 3)"
5181,01ead9c9e191cf5774d6bc68b7ba185c25920f89,sample_data_2,interior,livingroom,01ead9c9e191cf5774d6bc68b7ba185c25920f89.jpg,image_data/sample_data_2/livingroom/01ead9c9e191cf5774d6bc68b7ba185c25920f89.jpg,"(430, 645, 3)"
5160,011b4bce42c9eed506df88b8f645b4f84bdf3629,sample_data_2,interior,livingroom,011b4bce42c9eed506df88b8f645b4f84bdf3629.jpg,image_data/sample_data_2/livingroom/011b4bce42c9eed506df88b8f645b4f84bdf3629.jpg,"(430, 645, 3)"
5249,03f5cdd6e71948ed89646ecd35246c969e733399,sample_data_2,interior,livingroom,03f5cdd6e71948ed89646ecd35246c969e733399.jpg,image_data/sample_data_2/livingroom/03f5cdd6e71948ed89646ecd35246c969e733399.jpg,"(430, 645, 3)"
5259,04654288ce26826ba679e83f3f28c35878ef59f9,sample_data_2,interior,livingroom,04654288ce26826ba679e83f3f28c35878ef59f9.jpg,image_data/sample_data_2/livingroom/04654288ce26826ba679e83f3f28c35878ef59f9.jpg,"(430, 645, 3)"
5154,00d71430a7cf05a3e8eefd42798ac6272a563b39,sample_data_2,interior,livingroom,00d71430a7cf05a3e8eefd42798ac6272a563b39.jpg,image_data/sample_data_2/livingroom/00d71430a7cf05a3e8eefd42798ac6272a563b39.jpg,"(430, 645, 3)"
5131,002edb4aa720b74795f469576710eb7a74bd25c9,sample_data_2,interior,livingroom,002edb4aa720b74795f469576710eb7a74bd25c9.jpg,image_data/sample_data_2/livingroom/002edb4aa720b74795f469576710eb7a74bd25c9.jpg,"(430, 573, 3)"
5198,028a354decfff2a06f26747e9a1ec1a76b6a8e99,sample_data_2,interior,livingroom,028a354decfff2a06f26747e9a1ec1a76b6a8e99.jpg,image_data/sample_data_2/livingroom/028a354decfff2a06f26747e9a1ec1a76b6a8e99.jpg,"(430, 644, 3)"
5202,02a4d0f67af2ff754a321399725fa48fb5fdcaf9,sample_data_2,interior,livingroom,02a4d0f67af2ff754a321399725fa48fb5fdcaf9.jpg,image_data/sample_data_2/livingroom/02a4d0f67af2ff754a321399725fa48fb5fdcaf9.jpg,"(430, 645, 3)"
5138,005a216ec3cdcb34f9a548881967d063b317d1b9,sample_data_2,interior,livingroom,005a216ec3cdcb34f9a548881967d063b317d1b9.jpg,image_data/sample_data_2/livingroom/005a216ec3cdcb34f9a548881967d063b317d1b9.jpg,"(430, 645, 3)"
5220,031abc553ff50d8165cc5560c7456b65e84fb849,sample_data_2,interior,livingroom,031abc553ff50d8165cc5560c7456b65e84fb849.jpg,image_data/sample_data_2/livingroom/031abc553ff50d8165cc5560c7456b65e84fb849.jpg,"(430, 644, 3)"
5247,03e478e5081c54c9d48dbedb3094ea04f370cc59,sample_data_2,interior,livingroom,03e478e5081c54c9d48dbedb3094ea04f370cc59.jpg,image_data/sample_data_2/livingroom/03e478e5081c54c9d48dbedb3094ea04f370cc59.jpg,"(430, 645, 3)"
5234,0386243d6d9973242cfe7f2633ab162a7db923b9,sample_data_2,interior,livingroom,0386243d6d9973242cfe7f2633ab162a7db923b9.jpg,image_data/sample_data_2/livingroom/0386243d6d9973242cfe7f2633ab162a7db923b9.jpg,"(430, 645, 3)"
5223,0330878bd8544372e9d832191ae76036add5b739,sample_data_2,interior,livingroom,0330878bd8544372e9d832191ae76036add5b739.jpg,image_data/sample_data_2/livingroom/0330878bd8544372e9d832191ae76036add5b739.jpg,"(430, 645, 3)"
5185,0203243fe22ba31c8c381b85dc4a67b3a847f059,sample_data_2,interior,livingroom,0203243fe22ba31c8c381b85dc4a67b3a847f059.jpg,image_data/sample_data_2/livingroom/0203243fe22ba31c8c381b85dc4a67b3a847f059.jpg,"(430, 645, 3)"
5144,008ba9f52cbf6f4cd842bf2e1f1beec322176749,sample_data_2,interior,livingroom,008ba9f52cbf6f4cd842bf2e1f1beec322176749.jpg,image_data/sample_data_2/livingroom/008ba9f52cbf6f4cd842bf2e1f1beec322176749.jpg,"(430, 645, 3)"
4347,d7e6d9ce95fcfa5ef521adcaef9df66fe53d7c3a,sample_data,interior,livingroom,d7e6d9ce95fcfa5ef521adcaef9df66fe53d7c3a.jpg,image_data/sample_data/livingroom/d7e6d9ce95fcfa5ef521adcaef9df66fe53d7c3a.jpg,"(430, 644, 3)"
5243,03cb8c2abccccb6a683126209c3db647e61f4c59,sample_data_2,interior,livingroom,03cb8c2abccccb6a683126209c3db647e61f4c59.jpg,image_data/sample_data_2/livingroom/03cb8c2abccccb6a683126209c3db647e61f4c59.jpg,"(430, 645, 3)"
