,id,dataset,int_ext,room,jpg_filename,image_path,orig_tensor_dim
5369,0393bd9ab94121534ceddb58c066dceef9178269,sample_data_2,exterior,misc,0393bd9ab94121534ceddb58c066dceef9178269.jpg,image_data/sample_data_2/misc/0393bd9ab94121534ceddb58c066dceef9178269.jpg,"(430, 645, 3)"
5298,01136d2ce730c0faea152e39504fd08c3c875d79,sample_data_2,exterior,misc,01136d2ce730c0faea152e39504fd08c3c875d79.jpg,image_data/sample_data_2/misc/01136d2ce730c0faea152e39504fd08c3c875d79.jpg,"(395, 557, 3)"
5341,02a5e33c7ec056fac5f62c1c50fcef6290ffb7e9,sample_data_2,exterior,misc,02a5e33c7ec056fac5f62c1c50fcef6290ffb7e9.jpg,image_data/sample_data_2/misc/02a5e33c7ec056fac5f62c1c50fcef6290ffb7e9.jpg,"(430, 644, 3)"
5384,03ebc367f07654273a99ed077dd065e3bca45b59,sample_data_2,exterior,misc,03ebc367f07654273a99ed077dd065e3bca45b59.jpg,image_data/sample_data_2/misc/03ebc367f07654273a99ed077dd065e3bca45b59.jpg,"(430, 645, 3)"
5407,0459f2dd1af4c07ce0308826f2279bee13a8e3e9,sample_data_2,exterior,misc,0459f2dd1af4c07ce0308826f2279bee13a8e3e9.jpg,image_data/sample_data_2/misc/0459f2dd1af4c07ce0308826f2279bee13a8e3e9.jpg,"(424, 645, 3)"
5270,003c1f5b76b087c9bc63662912f66634867700d9,sample_data_2,exterior,misc,003c1f5b76b087c9bc63662912f66634867700d9.jpg,image_data/sample_data_2/misc/003c1f5b76b087c9bc63662912f66634867700d9.jpg,"(399, 600, 3)"
5398,0440f16710cd8336e3fae9acda45805dab3c0869 (1),sample_data_2,exterior,misc,0440f16710cd8336e3fae9acda45805dab3c0869 (1).jpg,image_data/sample_data_2/misc/0440f16710cd8336e3fae9acda45805dab3c0869 (1).jpg,"(430, 645, 3)"
5317,01c91eca65f94df9f54a1a6732e678b099ce61a9,sample_data_2,exterior,misc,01c91eca65f94df9f54a1a6732e678b099ce61a9.jpg,image_data/sample_data_2/misc/01c91eca65f94df9f54a1a6732e678b099ce61a9.jpg,"(429, 312, 3)"
5321,01fb53a7d80b4722d10c8e9ffbbc333dea1b0c19,sample_data_2,exterior,misc,01fb53a7d80b4722d10c8e9ffbbc333dea1b0c19.jpg,image_data/sample_data_2/misc/01fb53a7d80b4722d10c8e9ffbbc333dea1b0c19.jpg,"(430, 645, 3)"
5299,011eecf49ca0085dd6dc7630dfe2a088f45909d9,sample_data_2,exterior,misc,011eecf49ca0085dd6dc7630dfe2a088f45909d9.jpg,image_data/sample_data_2/misc/011eecf49ca0085dd6dc7630dfe2a088f45909d9.jpg,"(399, 600, 3)"
5367,03818bdbc6063456c9bfcc41e11a5a5692d70239,sample_data_2,exterior,misc,03818bdbc6063456c9bfcc41e11a5a5692d70239.jpg,image_data/sample_data_2/misc/03818bdbc6063456c9bfcc41e11a5a5692d70239.jpg,"(430, 645, 3)"
5396,0439837efc6c04e5c80450a616e91e00f6920799,sample_data_2,exterior,misc,0439837efc6c04e5c80450a616e91e00f6920799.jpg,image_data/sample_data_2/misc/0439837efc6c04e5c80450a616e91e00f6920799.jpg,"(430, 645, 3)"
5362,032bb2fd61796f5b5a6d5d80bd6dcef7a2d4f309,sample_data_2,exterior,misc,032bb2fd61796f5b5a6d5d80bd6dcef7a2d4f309.jpg,image_data/sample_data_2/misc/032bb2fd61796f5b5a6d5d80bd6dcef7a2d4f309.jpg,"(430, 645, 3)"
5290,00b8e4cf2f30e5eeb7878801ba400452509b6df9,sample_data_2,exterior,misc,00b8e4cf2f30e5eeb7878801ba400452509b6df9.jpg,image_data/sample_data_2/misc/00b8e4cf2f30e5eeb7878801ba400452509b6df9.jpg,"(430, 645, 3)"
5333,0244e0583620e8914551dec31bbccc28da96d229,sample_data_2,exterior,misc,0244e0583620e8914551dec31bbccc28da96d229.jpg,image_data/sample_data_2/misc/0244e0583620e8914551dec31bbccc28da96d229.jpg,"(430, 645, 3)"
5294,00f07f889d19f8b0613308876d09e7a7c41fc539,sample_data_2,exterior,misc,00f07f889d19f8b0613308876d09e7a7c41fc539.jpg,image_data/sample_data_2/misc/00f07f889d19f8b0613308876d09e7a7c41fc539.jpg,"(430, 288, 3)"
5295,00fbef5e26411bbb268f9acc69222ad91b6dc959,sample_data_2,exterior,misc,00fbef5e26411bbb268f9acc69222ad91b6dc959.jpg,image_data/sample_data_2/misc/00fbef5e26411bbb268f9acc69222ad91b6dc959.jpg,"(430, 645, 3)"
