,room,label1,label1_P,label2,label2_P,label3,label3_P,label1_correct,label2_correct,label3_correct,image_path,filename,id
1855,empty,empty,0.998295247554779,misc_int,0.0006204620585776865,kitchen,0.00046230087173171336,True,False,False,./data/test_data/empty/0602be7b461ce738a41af414a174f5612f6a8960.jpg,0602be7b461ce738a41af414a174f5612f6a8960.jpg,0602be7b461ce738a41af414a174f5612f6a8960
1261,bedroom,bedroom,0.997719943523407,livingroom,0.0008275258005596697,misc_int,0.0005524290609173477,True,False,False,./data/test_data/bedroom/08e8e40b50e3a402b2c85dd64bbfad372c8afc7c.jpg,08e8e40b50e3a402b2c85dd64bbfad372c8afc7c.jpg,08e8e40b50e3a402b2c85dd64bbfad372c8afc7c
3155,livingroom,livingroom,0.9927604198455809,diningroom,0.004236431326717138,bedroom,0.0021385960280895233,True,False,False,./data/test_data/livingroom/06955820c96402ffc01d4e1ab453483b068a7a4c.jpg,06955820c96402ffc01d4e1ab453483b068a7a4c.jpg,06955820c96402ffc01d4e1ab453483b068a7a4c
2118,empty,empty,0.992380678653717,misc_int,0.004254902247339487,bedroom,0.0016032669227570295,True,False,False,./data/test_data/empty/2b66fafe2f71436d83f2ecf0a975144a960d6ef9.jpg,2b66fafe2f71436d83f2ecf0a975144a960d6ef9.jpg,2b66fafe2f71436d83f2ecf0a975144a960d6ef9
929,bedroom,bedroom,0.998695194721222,livingroom,0.0006086748326197268,misc_int,0.00023828957637306303,True,False,False,./data/test_data/bedroom/06c64c4cb301229ec96176a77f90ebcb6f44005f.jpg,06c64c4cb301229ec96176a77f90ebcb6f44005f.jpg,06c64c4cb301229ec96176a77f90ebcb6f44005f
1332,bedroom,bedroom,0.9684842824935912,empty,0.015059258788824081,kitchen,0.014608865603804588,True,False,False,./data/test_data/bedroom/1091e08f786dd774dad23d0967676a866c973b49.jpg,1091e08f786dd774dad23d0967676a866c973b49.jpg,1091e08f786dd774dad23d0967676a866c973b49
2772,kitchen,kitchen,0.9999396800994872,empty,4.1869261622196063e-05,diningroom,5.304491423885338e-06,True,False,False,./data/test_data/kitchen/08defbe348d4b7cf5cb83518fbad23283cb9a29a.jpg,08defbe348d4b7cf5cb83518fbad23283cb9a29a.jpg,08defbe348d4b7cf5cb83518fbad23283cb9a29a
1319,bedroom,study,0.4901070892810822,bedroom,0.2963756024837494,livingroom,0.09007196128368378,False,True,False,./data/test_data/bedroom/095430bd4e186cf0aaeed05d1da435ffcee97101.jpg,095430bd4e186cf0aaeed05d1da435ffcee97101.jpg,095430bd4e186cf0aaeed05d1da435ffcee97101
2288,kitchen,kitchen,0.9998134970664978,misc_int,0.0001072251470759511,empty,3.1600680813426145e-05,True,False,False,./data/test_data/kitchen/0504f154ddb09c96e1d82c68965809c5aea1fa21.jpg,0504f154ddb09c96e1d82c68965809c5aea1fa21.jpg,0504f154ddb09c96e1d82c68965809c5aea1fa21
3647,misc_int,entrance,0.8931735157966614,misc_int,0.07099323719739914,kitchen,0.015189206227660181,False,True,False,./data/test_data/misc_int/0553bd60a5b0f53f39842280c193616e7947e20f.jpg,0553bd60a5b0f53f39842280c193616e7947e20f.jpg,0553bd60a5b0f53f39842280c193616e7947e20f
1052,bedroom,bedroom,0.989522397518158,livingroom,0.007943959906697273,kitchen,0.0011258977465331554,True,False,False,./data/test_data/bedroom/07984584164f1572e9e35a649af6834ccc575f8d.jpg,07984584164f1572e9e35a649af6834ccc575f8d.jpg,07984584164f1572e9e35a649af6834ccc575f8d
1637,diningroom,study,0.35280850529670715,bedroom,0.2495003044605255,misc_int,0.14497366547584534,False,False,False,./data/test_data/diningroom/07bb28365f948ace3d0f4f27872c3e18a75d233e.jpg,07bb28365f948ace3d0f4f27872c3e18a75d233e.jpg,07bb28365f948ace3d0f4f27872c3e18a75d233e
884,bedroom,bedroom,0.9995218515396118,livingroom,0.000290379481157288,diningroom,8.791991422185674e-05,True,False,False,./data/test_data/bedroom/067b60710375d53f0719e7c22039bfee7400dc35.jpg,067b60710375d53f0719e7c22039bfee7400dc35.jpg,067b60710375d53f0719e7c22039bfee7400dc35
591,bathroom,bathroom,0.9999284744262696,kitchen,2.8592119633685797e-05,empty,1.6317217159667052e-05,True,False,False,./data/test_data/bathroom/2a057bf7c88ad98ac43db3f4338b3bec11c95e19.jpg,2a057bf7c88ad98ac43db3f4338b3bec11c95e19.jpg,2a057bf7c88ad98ac43db3f4338b3bec11c95e19
2550,kitchen,kitchen,0.8498620986938477,study,0.13122418522834778,diningroom,0.008966553024947643,True,False,False,./data/test_data/kitchen/0727ed04ebef1520aec50ab8206c4e8c908774b0.jpg,0727ed04ebef1520aec50ab8206c4e8c908774b0.jpg,0727ed04ebef1520aec50ab8206c4e8c908774b0
