,room,label1,label1_P,label2,label2_P,label3,label3_P,label1_correct,label2_correct,label3_correct,image_path,filename,id
3679,misc_int,bedroom,0.9891901016235352,livingroom,0.010225314646959305,misc_int,0.00018404802540317175,False,False,True,./data/test_data/misc_int/06b3c26302e91124966c6995c0160f4192043080.jpg,06b3c26302e91124966c6995c0160f4192043080.jpg,06b3c26302e91124966c6995c0160f4192043080
1737,diningroom,bedroom,0.9495897889137268,livingroom,0.04473019763827324,misc_int,0.003258174983784557,False,False,False,./data/test_data/diningroom/25bf872a194f8215c7cb063ee7ffde20e3f37179.jpg,25bf872a194f8215c7cb063ee7ffde20e3f37179.jpg,25bf872a194f8215c7cb063ee7ffde20e3f37179
1057,bedroom,kitchen,0.9575327038764954,livingroom,0.014682643115520476,misc_int,0.008341285400092602,False,False,False,./data/test_data/bedroom/07a804f5b1aa1996407e104705d371100b5c3ae8.jpg,07a804f5b1aa1996407e104705d371100b5c3ae8.jpg,07a804f5b1aa1996407e104705d371100b5c3ae8
2622,kitchen,empty,0.9372621774673462,bedroom,0.02114790678024292,misc_int,0.012805833481252192,False,False,False,./data/test_data/kitchen/07b6fb72d92b7d40a658cde4fc4b70d1566e8b0f.jpg,07b6fb72d92b7d40a658cde4fc4b70d1566e8b0f.jpg,07b6fb72d92b7d40a658cde4fc4b70d1566e8b0f
1510,diningroom,livingroom,0.9831212759017944,study,0.007475219666957854,diningroom,0.005601370241492987,False,False,True,./data/test_data/diningroom/053e9be5d236ca449dd7412e9f13a6a62af736c0.jpg,053e9be5d236ca449dd7412e9f13a6a62af736c0.jpg,053e9be5d236ca449dd7412e9f13a6a62af736c0
2509,kitchen,empty,0.9789349436759948,kitchen,0.014767131768167019,bedroom,0.0041412878781557074,False,True,False,./data/test_data/kitchen/06d724b632746cad37705dd9be5a1620b91fbc88.jpg,06d724b632746cad37705dd9be5a1620b91fbc88.jpg,06d724b632746cad37705dd9be5a1620b91fbc88
2036,empty,kitchen,0.930353343486786,diningroom,0.016598284244537354,misc_int,0.01359584741294384,False,False,False,./data/test_data/empty/090aeab3ca9e95199a196d2c720f4ce1c6481834.jpg,090aeab3ca9e95199a196d2c720f4ce1c6481834.jpg,090aeab3ca9e95199a196d2c720f4ce1c6481834
3263,livingroom,kitchen,0.9755054116249084,livingroom,0.010733358561992644,misc_int,0.006812518928200007,False,True,False,./data/test_data/livingroom/078f0c086545506252a279449c101dd1cc4556ca.jpg,078f0c086545506252a279449c101dd1cc4556ca.jpg,078f0c086545506252a279449c101dd1cc4556ca
1480,conservatory,diningroom,0.9287660121917723,kitchen,0.053313907235860825,livingroom,0.014752397313714027,False,False,False,./data/test_data/conservatory/22926d4ceb03215bbdd3f318801e9529651c1769.jpg,22926d4ceb03215bbdd3f318801e9529651c1769.jpg,22926d4ceb03215bbdd3f318801e9529651c1769
3515,livingroom,diningroom,0.9349117875099182,livingroom,0.030999738723039624,kitchen,0.019230125471949574,False,True,False,./data/test_data/livingroom/094c094daedf943558a7b7182a3485db2d4181e3.jpg,094c094daedf943558a7b7182a3485db2d4181e3.jpg,094c094daedf943558a7b7182a3485db2d4181e3
644,bedroom,livingroom,0.9639138579368592,bedroom,0.02004129439592361,diningroom,0.013848037458956242,False,True,False,./data/test_data/bedroom/046484d356e38d98a9db08816e2cca8a1a9c56e9.jpg,046484d356e38d98a9db08816e2cca8a1a9c56e9.jpg,046484d356e38d98a9db08816e2cca8a1a9c56e9
3793,misc_int,bathroom,0.9918087124824524,kitchen,0.0071495296433568,misc_int,0.0009540218161419033,False,False,True,./data/test_data/misc_int/09593edb5f062d818b855fdd230acc70797cf401.jpg,09593edb5f062d818b855fdd230acc70797cf401.jpg,09593edb5f062d818b855fdd230acc70797cf401
1667,diningroom,kitchen,0.9999903440475464,livingroom,5.925895493419375e-06,misc_int,2.15357385968673e-06,False,False,False,./data/test_data/diningroom/08537cb4c55902b0bcd97968b64f68bd6a883870.jpg,08537cb4c55902b0bcd97968b64f68bd6a883870.jpg,08537cb4c55902b0bcd97968b64f68bd6a883870
3732,misc_int,livingroom,0.9099398255348206,bedroom,0.04635325074195862,study,0.02344132773578167,False,False,False,./data/test_data/misc_int/07d7175a80f451ec8de836138833cd947cd69be8.jpg,07d7175a80f451ec8de836138833cd947cd69be8.jpg,07d7175a80f451ec8de836138833cd947cd69be8
550,bathroom,diningroom,0.9184353351593018,kitchen,0.026996130123734474,livingroom,0.022776257246732712,False,False,False,./data/test_data/bathroom/24cf766dbff5c70cc29d40a06b69a23c52408139.jpg,24cf766dbff5c70cc29d40a06b69a23c52408139.jpg,24cf766dbff5c70cc29d40a06b69a23c52408139
1372,bedroom,livingroom,0.9211471676826476,bedroom,0.05263292044401169,study,0.016354737803339958,False,True,False,./data/test_data/bedroom/233c42c3fee981e1b1b234446ad9c100cd064829.jpg,233c42c3fee981e1b1b234446ad9c100cd064829.jpg,233c42c3fee981e1b1b234446ad9c100cd064829
419,bathroom,kitchen,0.9999822378158568,diningroom,1.0219162504654378e-05,livingroom,3.1179677080217516e-06,False,False,False,./data/test_data/bathroom/0899acc8228ad6e1a13ccf2a151b1b7814105f0a.jpg,0899acc8228ad6e1a13ccf2a151b1b7814105f0a.jpg,0899acc8228ad6e1a13ccf2a151b1b7814105f0a
3089,livingroom,diningroom,0.902617335319519,kitchen,0.050364457070827484,livingroom,0.034953098744153976,False,False,True,./data/test_data/livingroom/05fe2fca2bf3fd2b51f14eb1fc88e31b476b75b0.jpg,05fe2fca2bf3fd2b51f14eb1fc88e31b476b75b0.jpg,05fe2fca2bf3fd2b51f14eb1fc88e31b476b75b0
3098,livingroom,bedroom,0.984963834285736,livingroom,0.014069142751395702,empty,0.00037288974272087216,False,True,False,./data/test_data/livingroom/06148addc7bc8bdc1c3f3417717aa15fc52ac8de.jpg,06148addc7bc8bdc1c3f3417717aa15fc52ac8de.jpg,06148addc7bc8bdc1c3f3417717aa15fc52ac8de
2985,livingroom,empty,0.9662516117095948,livingroom,0.012514806352555752,kitchen,0.008994442410767078,False,True,False,./data/test_data/livingroom/05159b11461974e79df23188c32a5147857918c8.jpg,05159b11461974e79df23188c32a5147857918c8.jpg,05159b11461974e79df23188c32a5147857918c8
