,room,label1,label1_P,label2,label2_P,label3,label3_P,label1_correct,label2_correct,label3_correct,image_path,filename,id
1648,diningroom,study,0.5725730657577515,diningroom,0.32256266474723816,livingroom,0.07491311430931091,False,True,False,./data/test_data/diningroom/07fcf6c85e993dc7f3845f427ee52d96fd472b58.jpg,07fcf6c85e993dc7f3845f427ee52d96fd472b58.jpg,07fcf6c85e993dc7f3845f427ee52d96fd472b58
3670,misc_int,livingroom,0.5063900947570801,misc_int,0.1521606743335724,entrance,0.13180571794509888,False,True,False,./data/test_data/misc_int/0677ec8e6c43c6886c985c517a02ee8a167501b8.jpg,0677ec8e6c43c6886c985c517a02ee8a167501b8.jpg,0677ec8e6c43c6886c985c517a02ee8a167501b8
3014,livingroom,study,0.3864366710186005,livingroom,0.34120699763298035,misc_int,0.1935354173183441,False,True,False,./data/test_data/livingroom/05581c5e9306316bd162a8bf228df33a8289640c.jpg,05581c5e9306316bd162a8bf228df33a8289640c.jpg,05581c5e9306316bd162a8bf228df33a8289640c
240,bathroom,bedroom,0.4572665691375733,bathroom,0.3403603434562683,misc_int,0.09785903245210648,False,True,False,./data/test_data/bathroom/06feaad48c511a034675d4c3974a5527ad228691.jpg,06feaad48c511a034675d4c3974a5527ad228691.jpg,06feaad48c511a034675d4c3974a5527ad228691
1544,diningroom,misc_int,0.2726917266845703,diningroom,0.2523983120918274,bedroom,0.2273814678192139,False,True,False,./data/test_data/diningroom/05c534268cb50f8f7189b4f150089c35ca07a8fb.jpg,05c534268cb50f8f7189b4f150089c35ca07a8fb.jpg,05c534268cb50f8f7189b4f150089c35ca07a8fb
1319,bedroom,study,0.4901070892810822,bedroom,0.2963756024837494,livingroom,0.09007196128368378,False,True,False,./data/test_data/bedroom/095430bd4e186cf0aaeed05d1da435ffcee97101.jpg,095430bd4e186cf0aaeed05d1da435ffcee97101.jpg,095430bd4e186cf0aaeed05d1da435ffcee97101
2193,entrance,livingroom,0.3206385672092438,entrance,0.2496723085641861,misc_int,0.18458060920238492,False,True,False,./data/test_data/entrance/083afd008feb040596fff6032c61c203df01dd7a.jpg,083afd008feb040596fff6032c61c203df01dd7a.jpg,083afd008feb040596fff6032c61c203df01dd7a
78,bathroom,kitchen,0.7222808003425598,bathroom,0.13214226067066193,livingroom,0.07496504485607147,False,True,False,./data/test_data/bathroom/05800fabda5472ab5f94f9df05245ebec8a1722d.jpg,05800fabda5472ab5f94f9df05245ebec8a1722d.jpg,05800fabda5472ab5f94f9df05245ebec8a1722d
3718,misc_int,kitchen,0.8370388150215149,misc_int,0.08902714401483536,livingroom,0.04652934893965721,False,True,False,./data/test_data/misc_int/07676d78b44d240c6e81b7a81c60b7d3a8586b69.jpg,07676d78b44d240c6e81b7a81c60b7d3a8586b69.jpg,07676d78b44d240c6e81b7a81c60b7d3a8586b69
1497,diningroom,kitchen,0.6496514678001404,diningroom,0.3208463191986084,study,0.014859526418149471,False,True,False,./data/test_data/diningroom/05091359f40cdc5605f1c09ba5084655229b114f.jpg,05091359f40cdc5605f1c09ba5084655229b114f.jpg,05091359f40cdc5605f1c09ba5084655229b114f
1602,diningroom,bedroom,0.4675647020339966,diningroom,0.21675102412700653,misc_int,0.19457703828811648,False,True,False,./data/test_data/diningroom/07139e1d97ca47aac0a2dd3268033513525222b3.jpg,07139e1d97ca47aac0a2dd3268033513525222b3.jpg,07139e1d97ca47aac0a2dd3268033513525222b3
3515,livingroom,diningroom,0.9349117875099182,livingroom,0.030999738723039624,kitchen,0.019230125471949574,False,True,False,./data/test_data/livingroom/094c094daedf943558a7b7182a3485db2d4181e3.jpg,094c094daedf943558a7b7182a3485db2d4181e3.jpg,094c094daedf943558a7b7182a3485db2d4181e3
1173,bedroom,livingroom,0.7542085647583008,bedroom,0.12130136042833327,empty,0.05846620723605156,False,True,False,./data/test_data/bedroom/085cadcb12eacc0d3363963c29b9bb5a6826a8d3.jpg,085cadcb12eacc0d3363963c29b9bb5a6826a8d3.jpg,085cadcb12eacc0d3363963c29b9bb5a6826a8d3
1689,diningroom,study,0.5141761302947998,diningroom,0.384294718503952,livingroom,0.05930948257446289,False,True,False,./data/test_data/diningroom/08cf44c2ff1df113809d9b23e3aa7c49a5582861.jpg,08cf44c2ff1df113809d9b23e3aa7c49a5582861.jpg,08cf44c2ff1df113809d9b23e3aa7c49a5582861
3847,study,empty,0.6554228067398071,study,0.09652213007211684,livingroom,0.06980686634778976,False,True,False,./data/test_data/study/08c8c7acd0442f70e2f137d4e227fcf6b2afd580.jpg,08c8c7acd0442f70e2f137d4e227fcf6b2afd580.jpg,08c8c7acd0442f70e2f137d4e227fcf6b2afd580
2157,entrance,misc_int,0.6927204728126526,entrance,0.2425924837589264,bedroom,0.0236714668571949,False,True,False,./data/test_data/entrance/069196a8b72373a818035f6f59df82e13b19c95d.jpg,069196a8b72373a818035f6f59df82e13b19c95d.jpg,069196a8b72373a818035f6f59df82e13b19c95d
1509,diningroom,kitchen,0.9797581434249878,diningroom,0.00990951806306839,livingroom,0.009331151843070984,False,True,False,./data/test_data/diningroom/053cc630aeb6e9da18bb6e0050ab0238942d7880.jpg,053cc630aeb6e9da18bb6e0050ab0238942d7880.jpg,053cc630aeb6e9da18bb6e0050ab0238942d7880
1009,bedroom,livingroom,0.3348664343357086,bedroom,0.1796371191740036,entrance,0.16791081428527832,False,True,False,./data/test_data/bedroom/074884b2864d0c2b8095db9e08afcfea78266b57.jpg,074884b2864d0c2b8095db9e08afcfea78266b57.jpg,074884b2864d0c2b8095db9e08afcfea78266b57
3708,misc_int,entrance,0.5645130276679993,misc_int,0.2540912330150604,empty,0.1236790344119072,False,True,False,./data/test_data/misc_int/0735a2b5daf232bf856b92bb7f950cc3f7f2e885.jpg,0735a2b5daf232bf856b92bb7f950cc3f7f2e885.jpg,0735a2b5daf232bf856b92bb7f950cc3f7f2e885
2624,kitchen,empty,0.4772720634937286,kitchen,0.4140064120292664,entrance,0.04454304650425911,False,True,False,./data/test_data/kitchen/07b959ffbbfab14de061b00240c5707ab7ae257f.jpg,07b959ffbbfab14de061b00240c5707ab7ae257f.jpg,07b959ffbbfab14de061b00240c5707ab7ae257f
1530,diningroom,livingroom,0.9001017212867737,diningroom,0.04756759479641914,misc_int,0.01976451836526394,False,True,False,./data/test_data/diningroom/0596f5f139d452c3185c18ecd2080bef9b576546.jpg,0596f5f139d452c3185c18ecd2080bef9b576546.jpg,0596f5f139d452c3185c18ecd2080bef9b576546
624,bedroom,livingroom,0.8893287777900696,bedroom,0.04293778911232948,study,0.0228529553860426,False,True,False,./data/test_data/bedroom/023d5c73e1fd3edabb3aa8c0041e480d3db91729.jpg,023d5c73e1fd3edabb3aa8c0041e480d3db91729.jpg,023d5c73e1fd3edabb3aa8c0041e480d3db91729
679,bedroom,livingroom,0.8954522013664246,bedroom,0.09284307062625884,study,0.005899051669985056,False,True,False,./data/test_data/bedroom/0521f15b099db48c31c3aeb7bdbd2a401e80c116.jpg,0521f15b099db48c31c3aeb7bdbd2a401e80c116.jpg,0521f15b099db48c31c3aeb7bdbd2a401e80c116
3695,misc_int,empty,0.3734394311904907,misc_int,0.2750219702720642,entrance,0.2124757021665573,False,True,False,./data/test_data/misc_int/06f571b458420b4151908d956705dd09f8e23114.jpg,06f571b458420b4151908d956705dd09f8e23114.jpg,06f571b458420b4151908d956705dd09f8e23114
622,bedroom,livingroom,0.768978476524353,bedroom,0.17418542504310608,kitchen,0.02796655707061291,False,True,False,./data/test_data/bedroom/021b0686317816813bc105ad424ca9e2a302bab9.jpg,021b0686317816813bc105ad424ca9e2a302bab9.jpg,021b0686317816813bc105ad424ca9e2a302bab9
2860,kitchen,empty,0.8683443069458008,kitchen,0.11702059209346773,bedroom,0.007086178753525019,False,True,False,./data/test_data/kitchen/23640f69e0b9c87840acb986cdaca07784a52da9.jpg,23640f69e0b9c87840acb986cdaca07784a52da9.jpg,23640f69e0b9c87840acb986cdaca07784a52da9
3851,study,kitchen,0.473219245672226,study,0.2525375187397003,livingroom,0.10890263319015504,False,True,False,./data/test_data/study/0937c6c5183e3da205ed74db33df22dcf194d2b2.jpg,0937c6c5183e3da205ed74db33df22dcf194d2b2.jpg,0937c6c5183e3da205ed74db33df22dcf194d2b2
3295,livingroom,bedroom,0.8119213581085205,livingroom,0.18693995475769046,kitchen,0.00047905644169077277,False,True,False,./data/test_data/livingroom/07c8b59585dd4289aa04e0f93da4836ae50d53e0.jpg,07c8b59585dd4289aa04e0f93da4836ae50d53e0.jpg,07c8b59585dd4289aa04e0f93da4836ae50d53e0
1844,empty,entrance,0.3981945216655731,empty,0.3025801181793213,misc_int,0.2499411404132843,False,True,False,./data/test_data/empty/05ea2dfee7651a1d9f0eb404516a9b93c8811149.jpg,05ea2dfee7651a1d9f0eb404516a9b93c8811149.jpg,05ea2dfee7651a1d9f0eb404516a9b93c8811149
3829,study,livingroom,0.878000020980835,study,0.06737090647220613,bedroom,0.03748704120516777,False,True,False,./data/test_data/study/07008af9ec908944e8a882e6a1206e4038fcffcb.jpg,07008af9ec908944e8a882e6a1206e4038fcffcb.jpg,07008af9ec908944e8a882e6a1206e4038fcffcb
2371,kitchen,empty,0.948107659816742,kitchen,0.03235740214586258,bedroom,0.004987701773643494,False,True,False,./data/test_data/kitchen/05ca7d3ef141e03f1b75b9a656e953e3b4473dda.jpg,05ca7d3ef141e03f1b75b9a656e953e3b4473dda.jpg,05ca7d3ef141e03f1b75b9a656e953e3b4473dda
2989,livingroom,bedroom,0.8198099136352539,livingroom,0.17996817827224731,kitchen,6.661778024863452e-05,False,True,False,./data/test_data/livingroom/05212674e0ef2d1105ae6cd0ba435a29b9d5aabe.jpg,05212674e0ef2d1105ae6cd0ba435a29b9d5aabe.jpg,05212674e0ef2d1105ae6cd0ba435a29b9d5aabe
