,room,label1,label1_P,label2,label2_P,label3,label3_P,label1_correct,label2_correct,label3_correct,image_path,filename,id
1638,diningroom,study,0.4251545071601868,bedroom,0.2526494562625885,misc_int,0.14391960203647616,False,False,False,./data/test_data/diningroom/07c488df84c62d0e7a6fd495319af32818ffc2cd.jpg,07c488df84c62d0e7a6fd495319af32818ffc2cd.jpg,07c488df84c62d0e7a6fd495319af32818ffc2cd
3721,misc_int,bedroom,0.9467641711235046,livingroom,0.026583047583699226,bathroom,0.010250911116600037,False,False,False,./data/test_data/misc_int/078100b998162edcc7354d7d321226f69f041f31.jpg,078100b998162edcc7354d7d321226f69f041f31.jpg,078100b998162edcc7354d7d321226f69f041f31
2848,kitchen,empty,0.8984315991401672,misc_int,0.03005601465702057,study,0.0183386504650116,False,False,False,./data/test_data/kitchen/222a407503c21a64b95f3448a421013827340c09.jpg,222a407503c21a64b95f3448a421013827340c09.jpg,222a407503c21a64b95f3448a421013827340c09
3774,misc_int,empty,0.2266777902841568,study,0.2052040100097656,livingroom,0.2048235684633255,False,False,False,./data/test_data/misc_int/08e0f957eb790d7ef802d9db246747caf18bb5ee.jpg,08e0f957eb790d7ef802d9db246747caf18bb5ee.jpg,08e0f957eb790d7ef802d9db246747caf18bb5ee
2154,entrance,livingroom,0.3617850840091705,bedroom,0.2448301911354065,diningroom,0.11178192496299744,False,False,False,./data/test_data/entrance/066952edc66570865c5257b71385798aaee11c6e.jpg,066952edc66570865c5257b71385798aaee11c6e.jpg,066952edc66570865c5257b71385798aaee11c6e
3760,misc_int,bedroom,0.2833684682846069,diningroom,0.2184670567512512,livingroom,0.147981658577919,False,False,False,./data/test_data/misc_int/087bab0c3d6cdc4c2b147fb6f2c58b5581cd2943.jpg,087bab0c3d6cdc4c2b147fb6f2c58b5581cd2943.jpg,087bab0c3d6cdc4c2b147fb6f2c58b5581cd2943
2857,kitchen,livingroom,0.932149052619934,diningroom,0.03456732630729675,empty,0.010642232373356821,False,False,False,./data/test_data/kitchen/22fdd3ff1fc49cb57c6e58c41d37677d05805c29.jpg,22fdd3ff1fc49cb57c6e58c41d37677d05805c29.jpg,22fdd3ff1fc49cb57c6e58c41d37677d05805c29
3682,misc_int,bedroom,0.8952633738517761,livingroom,0.10143100470304488,study,0.0017747458769008515,False,False,False,./data/test_data/misc_int/06be0aa86ea107abacc212c4046863aa33df028f.jpg,06be0aa86ea107abacc212c4046863aa33df028f.jpg,06be0aa86ea107abacc212c4046863aa33df028f
2373,kitchen,livingroom,0.5618318915367126,diningroom,0.15155458450317386,study,0.13906027376651764,False,False,False,./data/test_data/kitchen/05ce8af802132595d1e15f3af4e0f4094f5f86f0.jpg,05ce8af802132595d1e15f3af4e0f4094f5f86f0.jpg,05ce8af802132595d1e15f3af4e0f4094f5f86f0
3784,misc_int,conservatory,0.5698840618133545,kitchen,0.2304827868938446,bathroom,0.07732183486223221,False,False,False,./data/test_data/misc_int/090ea43bdf3609259d78eb4e386ac51345212235.jpg,090ea43bdf3609259d78eb4e386ac51345212235.jpg,090ea43bdf3609259d78eb4e386ac51345212235
1737,diningroom,bedroom,0.9495897889137268,livingroom,0.04473019763827324,misc_int,0.003258174983784557,False,False,False,./data/test_data/diningroom/25bf872a194f8215c7cb063ee7ffde20e3f37179.jpg,25bf872a194f8215c7cb063ee7ffde20e3f37179.jpg,25bf872a194f8215c7cb063ee7ffde20e3f37179
1512,diningroom,study,0.2128827273845673,misc_int,0.16529111564159393,empty,0.1508159041404724,False,False,False,./data/test_data/diningroom/054cefb59f716b10abad19c3464e9689a2d3780a.jpg,054cefb59f716b10abad19c3464e9689a2d3780a.jpg,054cefb59f716b10abad19c3464e9689a2d3780a
3785,misc_int,livingroom,0.8410394191741943,bedroom,0.10726622492074966,study,0.032082367688417435,False,False,False,./data/test_data/misc_int/091310353671426f1527a9010199ec1da4190428.jpg,091310353671426f1527a9010199ec1da4190428.jpg,091310353671426f1527a9010199ec1da4190428
550,bathroom,diningroom,0.9184353351593018,kitchen,0.026996130123734474,livingroom,0.022776257246732712,False,False,False,./data/test_data/bathroom/24cf766dbff5c70cc29d40a06b69a23c52408139.jpg,24cf766dbff5c70cc29d40a06b69a23c52408139.jpg,24cf766dbff5c70cc29d40a06b69a23c52408139
1456,conservatory,empty,0.3693025708198547,entrance,0.269529402256012,misc_int,0.2330588549375534,False,False,False,./data/test_data/conservatory/028c8805db6f7dec6e82c342c55305efb5b086b9.jpg,028c8805db6f7dec6e82c342c55305efb5b086b9.jpg,028c8805db6f7dec6e82c342c55305efb5b086b9
3696,misc_int,livingroom,0.4879215657711029,kitchen,0.26329505443573004,diningroom,0.21120889484882355,False,False,False,./data/test_data/misc_int/06f7cae28f951dd9c3f41ce6f552045c88c739ea.jpg,06f7cae28f951dd9c3f41ce6f552045c88c739ea.jpg,06f7cae28f951dd9c3f41ce6f552045c88c739ea
3096,livingroom,diningroom,0.29009291529655457,study,0.27447912096977234,misc_int,0.20878966152668,False,False,False,./data/test_data/livingroom/061472e2053d24f3c8b74428aa86743158bd9fc8.jpg,061472e2053d24f3c8b74428aa86743158bd9fc8.jpg,061472e2053d24f3c8b74428aa86743158bd9fc8
3827,study,livingroom,0.9760652184486388,diningroom,0.008724919520318508,bedroom,0.005982568487524986,False,False,False,./data/test_data/study/06d7effcf1d2b5ffc16983c7d4ef28f34df23006.jpg,06d7effcf1d2b5ffc16983c7d4ef28f34df23006.jpg,06d7effcf1d2b5ffc16983c7d4ef28f34df23006
