,id,dataset,int_ext,room,jpg_filename,image_path,orig_tensor_dim
0,backyard (1),REI dataset,exterior,backyard,backyard (1).jpg,image_data/REI dataset/backyard/backyard (1).jpg,"(375, 500, 3)"
1,backyard (10),REI dataset,exterior,backyard,backyard (10).jpg,image_data/REI dataset/backyard/backyard (10).jpg,"(333, 500, 3)"
2,backyard (100),REI dataset,exterior,backyard,backyard (100).jpg,image_data/REI dataset/backyard/backyard (100).jpg,"(333, 500, 3)"
3,backyard (101),REI dataset,exterior,backyard,backyard (101).jpg,image_data/REI dataset/backyard/backyard (101).jpg,"(333, 500, 3)"
4,backyard (102),REI dataset,exterior,backyard,backyard (102).jpg,image_data/REI dataset/backyard/backyard (102).jpg,"(333, 500, 3)"
5,backyard (103),REI dataset,exterior,backyard,backyard (103).jpg,image_data/REI dataset/backyard/backyard (103).jpg,"(333, 500, 3)"
6,backyard (104),REI dataset,exterior,backyard,backyard (104).jpg,image_data/REI dataset/backyard/backyard (104).jpg,"(375, 500, 3)"
7,backyard (105),REI dataset,exterior,backyard,backyard (105).jpg,image_data/REI dataset/backyard/backyard (105).jpg,"(372, 500, 3)"
8,backyard (106),REI dataset,exterior,backyard,backyard (106).jpg,image_data/REI dataset/backyard/backyard (106).jpg,"(375, 500, 3)"
9,backyard (107),REI dataset,exterior,backyard,backyard (107).jpg,image_data/REI dataset/backyard/backyard (107).jpg,"(333, 500, 3)"
10,backyard (108),REI dataset,exterior,backyard,backyard (108).jpg,image_data/REI dataset/backyard/backyard (108).jpg,"(375, 500, 3)"
11,backyard (109),REI dataset,exterior,backyard,backyard (109).jpg,image_data/REI dataset/backyard/backyard (109).jpg,"(334, 500, 3)"
12,backyard (11),REI dataset,exterior,backyard,backyard (11).jpg,image_data/REI dataset/backyard/backyard (11).jpg,"(375, 500, 3)"
13,backyard (110),REI dataset,exterior,backyard,backyard (110).jpg,image_data/REI dataset/backyard/backyard (110).jpg,"(333, 500, 3)"
